Variable,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS
DG(16:0/18:1),0.310880541,0.225191166,0.053100146,0.06609103,0.113561189,0.353619926,0.25636799,-0.043539057,0.047329907,0.008707381,-0.063001534,0.119126315,-0.026419566,0.136046277,-0.280323556,-0.332107708,0.354828406,-0.013427634,0.103477908,0.064117368,-0.302779997,-0.311434573,-0.179731615,0.092709077,0.37789648,0.217802552,0.133940946,0.173864724,-0.189871109,0.015077053,0.154524947,0.153119561
DG(16:0/20:3),-0.073568364,-0.24160446,0.179113326,0.982871976,0.014748745,0.448706399,0.521259791,0.123922459,0.112180838,0.353877582,0.096183335,0.104798701,0.165774001,0.377672628,0.788736507,0.310671289,-0.76078021,0.328729787,-0.14907007,0.091603977,0.054179326,-0.262517071,0.376716407,0.34977026,-0.210138784,-0.227884271,0.154529406,-0.067913831,-0.086493494,0.160616537,0.059307375,0.018240637
DG(16:0/20:4),0.353072716,0.405939162,-0.055551623,-0.407928486,-0.212378513,-0.23140085,-0.769032388,0.324062568,-0.277918917,0.167098177,0.341311529,-0.168932745,0.005626177,-0.531048779,0.013159909,-0.173938377,0.311525964,-0.622237134,0.268973839,0.175493599,-0.077696175,-0.153082622,-0.057441102,-0.246208124,0.400284891,0.5422748,0.103051108,0.110856019,0.313598856,-0.495591055,-0.117460812,-0.108671935
DG(16:1/22:5),-0.06195387,-0.440755785,-0.331602388,-0.732698938,-0.261507222,-0.310041568,-0.362812512,-0.215655021,-0.557991448,-0.389049394,-0.474301023,-0.657183491,-0.019416038,-0.564932408,-0.854226292,-0.075770051,-0.113175165,-0.887952576,-0.263371449,-0.349906261,-0.52712193,-0.390580782,-0.452691043,-0.100199145,-0.493145277,-0.510500392,-0.374780916,-0.167136402,-0.221363203,-0.62968198,-0.223591288,-0.502545779
DG(18:0/20:1),0.424565947,0.245250589,0.028131008,-1.153751909,0.525527489,0.492943889,-0.317578113,0.39836648,-0.103926574,0.190926619,-0.015572858,-0.098569668,-0.357096923,-0.386249825,-1.063236545,-0.168054,0.116007358,0.659153541,0.228408103,0.314920541,0.397147547,0.214689141,0.043829906,0.250178719,0.446285217,0.322125921,0.298983743,0.352091523,0.588916504,0.032070898,0.675589067,0.14591203
DG(18:0/20:2),0.252379149,0.319611408,-0.105891059,-0.177899237,-0.076409891,-0.424290821,-0.894906553,0.237833312,-0.226274875,0.011463586,0.347587843,-0.094644038,-0.22119206,-0.572399811,0.35030317,-0.173030021,0.149794544,-0.401534335,0.014945562,0.119808225,-0.1170799,-0.063504152,-0.196953221,-0.323483622,0.342861333,0.538180113,0.011967992,0.087545824,-0.081175581,-0.468110354,-0.002317233,-0.143942741
DG(18:0/20:3),0.377279221,0.298147521,0.117799186,-0.358010465,0.162310684,0.091258431,-0.353736837,0.236514391,-0.307616991,0.350985448,0.105501108,0.085290526,-0.321356417,-0.404008247,-0.04260551,-0.286748384,0.165637717,0.021467671,0.288205175,0.416857767,-0.031202553,0.027792713,-0.034790749,0.046308549,0.503071408,0.534903053,0.026512892,0.348861179,0.049595834,-0.057305168,0.218242746,0.004771365
DG(18:0/20:4),0.028427798,-0.189492132,-0.156996942,-1.266756262,-0.176571331,-0.375129011,-0.856847455,-0.101281952,-0.42848285,-0.101339138,-0.062710697,-0.846547336,-0.123958631,-0.458617716,-0.517368934,0.342363144,0.016287871,-0.564596842,-0.11660724,-0.091854818,-0.455696879,-0.309325246,-0.395271352,-0.201501663,-0.253656635,-0.197912326,-0.37838906,-0.123826188,0.02887375,-0.714604593,0.054423613,-0.471927519
DG(18:0/22:5),0.208070532,0.105392186,-0.149600294,-0.429944667,-0.383895159,-0.193089829,-0.690706442,-0.037143488,-0.326481057,0.444705291,0.318240451,-0.053489392,-0.163862873,-0.435500424,0.201050262,-0.241779591,0.152660888,-0.527548048,0.020726559,0.028062741,-0.225848697,-0.176790703,-0.343701904,-0.271525831,0.12883392,0.394734988,0.039051209,-0.19320653,-0.046600038,-0.460165182,-0.076778484,0.025508823
DG(18:0/22:6),-0.350640649,-0.366776702,-0.113989468,-0.51485408,-0.647708123,-0.366535776,0.000271186,-0.223106483,-0.498656625,-0.559043834,-0.366359135,-0.466014152,0.074145546,-0.164861445,-0.291560747,0.072485441,-0.140605306,-1.207851803,-0.357126027,-0.53173859,-0.56026907,-0.410442885,-0.31317341,-0.152653395,-0.487873489,-0.622407419,-0.423241805,-0.55224037,-0.387454485,-0.374845875,-0.189141026,-0.511474404
DG(18:1/18:0),-0.107975998,-0.03740643,-0.273094606,-0.905750639,0.007317989,-0.085310588,-0.558350753,-0.10249951,-0.296667141,-0.309937029,-0.309488961,-0.673051619,-0.318308314,-0.611571763,-1.220430496,0.090015418,0.089977153,-0.196133043,0.18268859,-0.040463496,-0.195967652,-0.178717125,-0.144237102,-0.072220638,-0.054463345,-0.116146624,-0.300067295,-0.017489045,-0.184898406,-0.52202067,0.025050085,-0.369970484
DG(18:1/18:2),-0.425461294,-0.27336438,-0.516702382,-0.719054809,-0.451008002,-0.488660454,-0.558911125,-0.290770066,0.183501422,0.282206573,0.475763423,0.085841216,0.067366847,0.317659549,-0.016544525,0.21759935,-0.252304293,0.181463249,-0.331320031,-0.250777209,0.154921121,0.055500789,0.558593494,-0.240419176,-0.311888815,-0.161827173,0.431834283,-0.251939831,0.728349556,-0.433131688,-0.082749858,-0.045397811
