Variable,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS
PC(14:0/20:4),-0.241847205,-0.239512698,-0.421207374,-0.612145338,-0.334819114,-0.711471774,-1.044504421,-0.198314527,-0.499633532,-0.390378233,0.007372106,-0.508409812,0.032925617,-0.629852907,0.02308403,-0.097310423,0.11658932,-0.897271201,0.078243496,-0.173553385,-0.255290722,0.031721636,-0.198125057,-0.522842014,-0.187424248,-0.144219406,-0.433127555,-0.17588494,-0.182084617,-0.702452312,-0.260099911,-0.031238331
PC(16:0/14:0),0.146298784,-0.007787196,0.084900544,0.146538531,-0.024556503,-0.108346543,-0.157518802,-0.118543908,0.246655936,0.234513253,0.347772413,0.154384521,-0.104597619,-0.00323183,0.173135219,-0.236943662,0.290778251,0.669530734,0.072673745,0.217393284,0.30123017,0.251245365,-0.291072722,-0.005668891,0.354956402,0.321124167,0.347441806,-0.014640998,0.027011119,-0.180920769,-0.136936825,0.098914063
PC(16:0/16:0),0.046173765,0.000289978,0.304124793,0.683717003,0.1161732,0.206164729,0.689157301,0.056760098,0.364596672,0.145797105,0.014287945,0.404996683,0.16509915,0.559833175,0.348893427,0.062690753,-0.10127349,0.260248526,-0.029062217,0.072949497,0.326636058,0.130198243,0.181330295,0.226845374,-0.121097333,-0.035918441,0.128190391,0.055593234,-0.214595982,0.509068335,-0.01497202,0.202000143
PC(16:1/16:0),0.041817501,0.027166188,0.360347566,0.493032355,0.09267569,0.150289839,0.202799404,0.12045542,-0.342664015,0.073420376,-0.287309976,-0.570748971,0.06324531,0.076323495,0.39358401,0.300354825,-0.432459683,-0.175417674,-0.125895465,-0.124817119,0.033010612,-0.143208924,0.111647692,0.154928941,-0.173520308,-0.055498573,0.017258317,-0.069836213,0.007800196,-0.2118248,0.024081803,0.11649365
PC(16:1/16:1),-0.25358648,-0.331215148,-0.426649332,-0.541712624,-0.454559612,-0.514633915,-0.901168194,-0.385374826,-0.56578935,-0.325304944,-0.174561686,-0.637380626,-0.180272722,-0.728750916,-0.059131997,-0.094145918,0.084709815,-0.438326105,-0.128984906,-0.175276078,-0.276792966,-0.244186046,-0.22796396,-0.584119097,-0.133945723,-0.033819499,-0.270897513,-0.305660548,0.057821084,-0.792893194,-0.212963393,-0.086137295
PC(16:1/22:6),-0.369532068,-0.26263343,-0.264631089,-0.229585925,-0.285869253,-0.106204156,-0.499183643,-0.34418114,-0.416022933,-0.270675953,-0.279865994,-0.327629564,-0.049138576,-0.326639879,0.018154224,-0.081326644,-0.178879377,-0.839733246,-0.025499517,-0.140579473,-0.281243194,-0.21935016,-0.045922398,-0.265432171,-0.435144849,-0.30827596,-0.389060496,-0.249322388,-0.253604376,-0.377091388,-0.320093956,0.007105426
PC(18:0/22:4),-0.361041826,-0.268776248,-0.102741932,0.379834582,-0.046361641,-0.236065123,-0.030043246,-0.018231139,-0.449039044,-0.509728314,-0.386543861,-0.307235112,0.083237949,-0.117454718,0.406751875,0.114806542,-0.543362335,-0.989231484,-0.294268843,-0.161012574,-0.166440346,-0.209386578,0.117656679,-0.138803913,-0.554730406,-0.422959963,-0.369414012,-0.165043949,-0.285727112,-0.062339631,-0.168836355,-0.098109348
PC(18:0/24:4),-0.195570928,-0.302576197,0.076316405,0.085395331,-0.183320242,-0.652897265,-0.382667535,0.014893886,-0.48057682,-0.396456809,-0.287304634,-0.247975775,-0.015807496,-0.256864734,0.30946695,0.016029291,-0.50317099,-0.766967294,-0.072606031,-0.007584824,-0.182388084,-0.210121409,0.101130468,-0.316402501,-0.372439598,-0.451780778,-0.180684811,-0.173279525,-0.300012342,-0.183696745,-0.081670629,-0.047825152
PC(18:1/22:0),0.257928905,0.124769352,-0.053376267,-1.347900966,-0.004434946,0.073949392,-0.832436064,-0.177663249,-0.24021175,0.143963798,0.107375764,-0.383829009,-0.337488887,-0.687390598,-1.442053876,-0.041709046,0.28315568,0.343212577,0.241052089,0.100451655,0.238871747,0.183705528,-0.103230199,-0.2846202,0.388958734,0.205019708,0.109588593,0.022555382,0.344159507,-0.608527672,0.192436219,-0.231550028
PC(18:1/22:1),0.05556309,-0.09549013,-0.158312279,-1.4102357,0.047232856,0.138344011,-0.95200066,-0.056877089,-0.509776662,-0.109705349,-0.141427293,-0.62790228,-0.418958487,-0.839178208,-1.300368859,0.062852739,0.007626927,0.035332263,0.140346391,-0.007521216,-0.043490184,-0.033946734,-0.085798909,-0.234767475,0.166746924,-0.054185281,-0.091508011,-0.011928762,0.468391387,-0.652692047,0.321212225,-0.194706735
