Variable,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS
PE(16:0/18:2),0.06109995,-0.019200039,-0.369145894,-0.135627747,0.202279355,0.328487953,0.218752786,-0.044845028,-0.243297708,-0.614644213,-0.093813922,-0.075748244,-0.257014527,0.046676052,-0.458914191,-0.49145066,0.323253991,-0.06208949,0.044190755,0.093514776,0.194591156,0.123371056,0.067726825,-0.056841594,0.197340149,0.121858956,-0.071601117,0.017812256,0.341624903,0.121414461,-0.020205516,0.75419432
PE(16:0/20:4),0.233131817,0.164149535,-0.128267784,-0.376179671,-0.114932258,-0.590049409,-0.428197092,0.085682824,-0.103430818,-0.075600604,0.131092097,0.143773545,-0.01839749,-0.301331951,0.32025789,-0.055144252,0.522167146,-0.116523824,0.128634994,0.091330532,-0.07863359,0.336603692,-0.230195284,-0.031851177,0.34305158,0.450778032,-0.106744507,0.097274148,-0.320269706,-0.370349577,-0.102746544,0.026924356
PE(16:1/22:6),-0.178956902,-0.167576504,-0.640268004,-1.139956449,-0.545416841,-0.526513266,-1.220445834,-0.359659082,-0.729448808,-0.34998093,-0.156239806,-0.738140444,-0.169857323,-0.939020995,-0.319710803,-0.220342092,0.387448483,-0.937400675,0.13846174,-0.178525002,-0.412286834,-0.140036796,-0.424020093,-0.496734173,-0.008217438,0.207426489,-0.32942265,-0.232722441,0.025816392,-0.977876831,-0.279823438,-0.301966764
PE(18:0/18:1),0.381477169,0.342699554,-0.187697451,-1.050549531,0.228757094,0.166465501,-0.506862627,0.167339168,-0.023780273,0.042858491,0.133156218,0.050922912,-0.221101916,-0.445357365,-0.554716777,-0.216122872,0.611882497,0.260586833,0.40322711,0.17969882,0.132078744,0.096198955,-0.205607992,0.171883313,0.543299344,0.42322792,-0.031608596,0.480794441,0.312584964,-0.238860427,0.453761385,0.084620893
PE(18:0/20:1),0.398509671,0.239452413,0.228179578,-1.234597184,0.463965589,0.759178593,-0.397147185,0.363504573,-0.030348768,0.168371584,-0.008042069,-0.043551279,-0.378368278,-0.307386571,-1.125400294,0.07157514,0.065710936,0.759654925,0.182432492,0.305371729,0.16903105,0.16174644,-0.180402223,0.36660169,0.561901629,0.334236164,0.033761374,0.414596381,0.672533443,0.092914252,0.737481634,0.186953671
PE(18:0/20:3),0.623927667,0.184605794,0.027121339,-0.241740688,0.127356418,0.043887304,-0.042573349,0.367546747,-0.162349801,-0.279603344,-0.010541503,-0.12509196,-0.21193496,-0.313090877,-0.142720208,-0.339228415,0.381564669,0.332032872,0.247743372,0.214367452,-0.26347357,-0.053707743,-0.363077496,0.090337431,0.624393162,0.367977631,-0.063815331,0.296971993,-0.014036687,-0.048154076,0.196645287,0.052536413
PE(18:0/20:4),0.17623621,0.26093286,0.069939208,0.349154148,-0.02441434,-0.253092533,0.178416275,0.194444431,0.324885331,0.165224746,0.418536534,0.30913639,0.111694654,0.076168412,0.621444781,0.046476647,0.118004281,-0.179310147,0.096482875,0.209851978,0.066396287,-0.06557125,0.022609176,-0.036262534,0.012052635,0.234852352,0.093269027,0.126148264,-0.126773589,0.13106258,-0.095164553,0.340256721
PE(18:0/22:6),0.142608282,0.312156496,0.116012019,0.384725959,-0.040541093,0.402474086,0.575693675,-0.109059975,0.265972852,0.256662892,-0.018663639,0.266815462,0.185226453,0.330303757,0.03855872,-0.226795454,0.397689825,0.210073742,0.114181188,0.002553088,0.023681483,0.006440128,-0.105128574,0.217179205,0.150317908,0.337968329,0.120154185,0.097571817,-0.409977979,0.282806992,-0.238046809,0.125343662
PE(18:1/16:0),0.362230997,0.339716082,0.043310553,0.037995626,0.040374889,0.180800766,0.042620672,0.344973365,-0.047700883,-0.020262472,-0.00516169,-0.236380751,-0.159790991,-0.397090166,0.000202451,-0.401863851,0.250328967,-0.059817567,0.561810101,0.336179586,-0.135223481,-0.11885293,-0.1753726,0.324686556,0.339744793,0.537725416,-0.202142032,0.118551322,-0.102582921,0.164911539,-0.258572121,0.352281214
PE(18:1/18:1),-0.087468437,-0.005337008,-0.102987311,-0.06509386,0.080435813,0.463117977,0.200680505,-0.035714834,-0.10453782,-0.170188524,-0.377892226,-0.363324576,-0.031436449,-0.335160983,-0.30754726,0.055541305,-0.285269223,-0.10465951,-0.075036364,0.05477868,0.073180494,-0.193724996,-0.082704167,0.212802119,-0.046133456,-0.227998294,-0.249911874,0.007555097,0.270969993,0.019257135,0.298438397,0.59028423
PE(18:1/20:1),0.235007893,0.150909862,-0.255239433,-1.099945835,0.247188906,0.303615402,-0.921936741,0.00939632,-0.300611441,-0.047328599,-0.032748545,-0.431856878,-0.492727828,-0.789902416,-1.075168429,-0.04147429,0.301105367,0.277975295,0.185925358,0.098377892,-0.031952443,-0.074156066,-0.320281412,-0.083338265,0.574814506,0.275774641,-0.175924626,0.146309993,0.462891205,-0.56346588,0.439728187,0.096918443
PE(18:1/22:6),-0.031152769,-0.044136599,-0.263964597,-0.239008814,-0.262157726,0.234863907,-0.338289537,-0.120888413,-0.208925923,-0.274526426,-0.215235313,-0.324694277,-0.092777873,-0.399689216,-0.11264288,-0.129955581,0.163651836,-0.432138624,0.033784685,-0.034858688,-0.094094741,-0.015651092,-0.370892386,0.05296952,0.054094629,0.071807874,-0.430581212,0.030379705,-0.176875733,-0.234255256,-0.072788082,-0.031303178
PE(20:4/22:6),-0.313666585,-0.178416504,-0.681120981,-1.361373024,-0.609928159,-0.668442888,-1.033908965,-0.390420918,-0.187893802,0.101685391,0.318398155,-0.304566391,0.16305514,-0.425727652,-0.319775931,0.33175013,0.23604278,-0.501491225,0.02300796,-0.319506652,-0.133238117,0.12498121,-0.122267442,-0.497118553,-0.18446707,0.011290634,0.049370495,-0.312774195,0.353511792,-0.849945893,-0.328267942,-0.414529891
