Variable,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS
PE(P-16:0/18:1),0.422518502,0.173495402,0.207871219,-0.513219102,0.600692272,0.465162293,0.078987181,0.297906042,0.236760699,0.268782037,0.176417779,0.048071435,-0.282717287,0.016162795,-0.741066313,-0.039143762,0.096263979,0.935745306,0.111791235,0.221002243,0.293429702,0.114500655,-0.022144669,0.243537087,0.443498991,0.33754891,0.342212103,0.344771625,0.337045416,0.150259686,0.398725247,0.324686178
PE(P-16:0/20:2),0.077281269,0.002593169,0.227830334,-0.229302561,0.506551392,0.804304566,0.357459298,0.132474435,0.226778414,0.189949987,-0.06895508,0.046901121,-0.103002019,0.148110049,-0.56555149,0.34670694,-0.370108904,0.73098917,0.004738482,0.067374877,0.342135918,0.021330982,0.313948481,0.411844653,0.014195921,-0.112869646,0.300212308,0.20600997,0.459407714,0.335652771,0.479005376,0.329748854
PE(P-16:0/20:3),0.28753657,-0.022657604,0.085889387,-0.127627112,0.218120908,0.241222077,0.044719112,0.058942836,0.019070409,0.315067779,0.252710441,0.075558058,-0.252763061,0.038131391,-0.121370996,-0.007675442,-0.024805903,0.807702298,0.130791766,0.214922282,0.182908307,0.026214239,-0.006927528,-0.070807904,0.419855395,0.334284022,0.4485717,0.128815527,0.601614948,-0.047957159,0.266058698,-0.18417952
PE(P-16:0/22:6),0.148691946,-0.073256442,0.049082438,-0.183134814,-0.146509379,-0.080630752,-0.380611924,-0.04225695,-0.171423056,-0.011925357,-0.018760042,-0.093458013,-0.083230869,-0.420937908,0.165490029,-0.010848257,0.086130903,-0.158894591,0.010795405,-0.021669759,-0.096633092,-0.147744132,-0.140448211,-0.15867569,0.137256771,0.213061289,-0.083100684,0.028635327,-0.255501944,-0.19163327,-0.128169275,-0.078348494
PE(P-18:0/18:1),0.3039659,0.26793966,-0.187781367,-1.25248433,0.268956909,0.471187609,-0.434850381,0.176439289,-0.04514231,0.293326267,0.136375349,-0.030166545,-0.298688393,-0.401778158,-0.921543986,-0.057998318,0.395796631,0.713445817,0.199251718,0.06495894,0.068484914,0.071322994,-0.144333848,0.054096177,0.593194906,0.285047733,0.199113515,0.258896337,0.618346575,-0.381293238,0.365100299,0.080876076
PE(P-18:0/20:1),0.225680625,0.274558661,-0.081809221,-0.97091656,0.374556715,0.578956812,-0.405034586,0.04546288,-0.119687452,0.292388639,0.043082769,-0.037857686,-0.353365421,-0.355019072,-1.141669942,-0.242197771,0.211936304,0.832335263,0.136424903,0.115098862,0.240363906,0.156784155,-0.171107555,-0.023767272,0.59938641,0.203512183,0.328271369,0.238611377,0.7317918,-0.249205681,0.422063861,0.044845573
PE(P-18:0/20:4),-0.010140215,0.12429219,0.320985854,0.694084335,0.228760925,0.29613304,0.422526843,0.107803093,0.312963569,0.424350517,0.08757287,0.507218291,0.381498056,0.527840034,0.584662396,0.270456665,-0.60311738,0.418924364,0.006557655,0.13761415,0.206018422,0.072098682,0.397850506,0.249924253,-0.290314785,-0.020751047,0.389637477,0.150154212,-0.131126046,0.294369921,0.054816424,0.27187292
PE(P-18:0/22:4),0.39142758,0.324080154,-0.227101942,-0.776235258,0.03841474,-0.289998715,-0.664612912,0.185961836,-0.209350296,0.114615125,0.354454592,-0.054598827,-0.183160843,-0.402530802,-0.133856798,-0.070579466,0.49730387,0.02259363,0.168579968,0.085099453,0.042900884,0.087309835,-0.213241401,-0.133129609,0.515519424,0.524124312,0.197861613,0.196953734,0.36885252,-0.363461628,0.152139526,-0.176236718
PE(P-18:0/22:6),0.030468527,0.25877475,-0.097502526,-0.59163211,-0.163311762,-0.23841557,-0.035068823,0.153187025,0.178752144,0.195135381,0.138817625,0.284041014,0.156526827,0.027757274,0.051391649,0.127750838,0.330940159,-0.012705929,0.299840331,0.038467136,-0.121684407,0.111250282,-0.033498077,0.255948804,0.285513066,0.325946949,0.161434994,0.053893649,-0.073496682,0.101103701,0.10737371,0.155830652
PE(P-18:1/22:6),0.020589098,0.273840899,0.111540038,0.06930365,0.142415468,-0.009121795,-0.258369918,0.131757754,0.038667034,0.170282637,0.085396943,-0.200457562,-0.096212061,0.033937797,0.29937875,0.188643898,0.066596703,-0.369136655,0.064929965,0.271887161,0.145850841,0.230740094,0.0542618,0.326311171,-0.152427157,-0.064666132,0.177069497,0.154007495,-0.220110682,0.15409071,0.198744349,-0.204178041
PE(22:2/P-16:0),0.152519459,0.17443865,-0.204147026,-1.274112129,0.288260965,0.626303994,-0.522465831,0.120201276,-0.256974047,0.051627003,-0.090511814,-0.32043304,-0.416665407,-0.610660916,-1.149309133,0.023343969,0.205797564,0.598338225,0.177962253,0.030008099,-0.02465973,-0.042681961,-0.123613293,0.049227568,0.482047253,0.214814797,0.028752431,0.171234646,0.551488183,-0.393662612,0.476577366,0.063436487
