SID,Group-Blind,Beh-Test,Rad-Condition,PctTime_FamiliarObj,PctTime_NovelObj,PS(22:6/22:4),DG(19:1/17:2/0:0)[iso2],PE-NMe2(20:4/24:0),PE(15:1/23:0),(3'-sulfo)Galbeta-Cer(d18:1/16:0(2OH)),PC(18:0/24:4),HexCer(d18:1/26:1),PS(22:2/24:0),PE(20:4/0:0),DG(18:0/20:2/0:0),PE(P-18:0/19:0),DG(17:0/22:6/0:0)[iso2],HexCer(d18:1/18:1),9-octadecenolide,HexCer(d16:1/24:0),PI(20:4/18:0),PE(P-18:0/20:4),HexCer(d18:0/24:0),DG(18:1/0:0/20:1),DG(18:0/20:3/0:0),PE(18:0/20:3),DG(18:0/22:5/0:0),PE(P-18:1/22:6),DG(22:4/22:6/0:0)[iso2],PE(18:0/22:6),PC(16:1/22:6),PC(18:0/22:4),HexCer(d18:1/22:0),Cer(d18:1/24:1),PE(22:4/22:6),Cer(d18:1/24:0(3OH)),PC(18:1/22:0),PE(22:6/22:6),HexCer(d18:1/24:1),PE(15:1/19:0),DG(22:6/18:1/0:0),PC(18:1/22:1),PE(18:1/0:0),7-alpha-hydroxy-4-cholesten-3-one-d7,Cer(d18:1/20:0(3OH)),LysoPC(16:0),DG(O-16:0/18:1),LysoPC(22:6),PG(18:4/14:1),DG(20:5/22:3/0:0)[iso2],PC(20:4/0:0),PC(P-18:0/18:3),PE(P-16:0/20:2),DG(a-15:0/0:0/17:0),PE(22:4/0:0),"5-alpha-Cholesta-7,24-dien-3-beta-ol",PS(13:0/12:0),PE(18:0/21:0),PE(22:6/16:0),PE(22:6/18:2),PC(18:2/16:1),PC(18:1/0:0),1-Palmitoyl-2-linoleoyl PE,HexCer(d18:0/18:1),MG(0:0/22:6/0:0),DG(16:0/0:0/20:4),PE(16:0/18:2),PS(18:0/22:6),PE(20:4/22:6),DG(16:0/20:4/0:0),DG(16:0/0:0/18:1),PC(17:2/17:2),PE(22:4/18:4),DG(20:4/18:1/0:0),PC(16:1/16:1),SM(d14:0/26:1),PC(18:1/24:0),Cer(d18:2/24:0(2OH)),PC(18:0/0:0),DG(16:1/0:0/22:5),PE(22:6/0:0),PC(22:6/22:6),DG(22:4/22:6/0:0),PC(O-22:2/20:2),PC(17:0/22:6),PE(16:0/20:4),HexCer(d18:1/18:0),PC(16:0/0:0),DG(18:1/18:0/0:0),PC(16:0/14:0),DG(18:1/18:2/0:0),TG(16:0/22:6/18:1),HexCer(d16:1(15Me)/24:0(2OH),PE(P-16:0/20:3),Cer(t26:1/16:0(2OH)),MG(20:4/0:0/0:0),PE(P-16:0/22:6),PC(18:2/22:6),MG(16:0/0:0/0:0) ,PE(22:2/P-16:0),PE(16:1/22:6),DG(20:0/18:0/0:0),Ceramide (d18:1/18:1),PE(22:5/18:0),Cer(d18:2/18:0),Cer(d18:1/22:0(3OH)),PC(8:0/6:0),HexCer(d18:1/22:0(2OH)),PE(18:1/18:1),SM(d16:1/26:1),PC(P-18:0/20:5),Sphinganine 1-phosphate,PE(P-18:0/18:1),Oreacerebroside F,5-alpha-cholest-22E-en-3beta-ol,PE(P-18:0/22:6),PE(18:1/22:6),PI(22:1/18:2),PE(19:0/0:0),PC(P-16:0/20:0),PE(P-16:0/18:1),DG(18:0/20:1/0:0),DG(18:0/22:6/0:0)[iso2],TG(16:0/16:0/22:6),Cer(d18:0/22:0),PE(22:4/18:0),"Anandamide (20:1, n-9)",MG(0:0/18:0/0:0),PE(18:1/20:1),DG(18:0/20:4/0:0)[iso2],MG(0:0/20:4/0:0),PC(O-18:0/16:0),HexCer(d18:1/24:0),PC(18:2/20:5),SM(d18:1/16:0),PE(P-18:0/20:1),SM(d18:0/18:1),SM(d18:1/18:1),PE(18:0/20:4),TG(16:0/16:0/18:1),PE(P-18:0/22:4),TG(18:0/16:0/18:1),PE(18:0/18:1),HexCer(d18:2/24:0(2OH)),PC(18:1/22:6),PC(20:4/18:1),Phosphocholine,PC(16:1/16:0),PC(22:6/16:0),PC(16:0/16:0)
1,A,NovelObject,Irr,63.04347829,36.95652171,0.232022355,0.120621778,0.13439598,-0.074020659,0.010057493,0.224703695,0.192212521,0.528309067,-0.012158636,0.05245787,-0.231548552,0.130666104,0.049511805,0.148596705,0.235765763,0.096908284,-0.091885794,0.228819329,0.019278356,-0.041709297,-0.285050846,0.197582372,0.253397647,-0.312092102,-0.200736647,0.250936084,0.291757799,0.31595652,-0.009988762,-0.052656756,0.702047374,0.253829158,0.404888061,0.710833441,-0.358139138,-0.248576933,0.346979131,0.265823223,-0.860605761,-0.024433763,0.278462817,0.211187427,0.377619508,-0.634679546,-0.270272505,0.211763243,0.240537249,0.08295362,-0.264218977,-0.011917716,-0.21625111,0.356422104,0.13942998,-0.127599464,0.448774447,0.381672711,0.132745725,0.00689383,0.17658794,0.231017834,-0.115457312,0.010292034,0.141164454,0.34737088,-0.346565349,-0.229777611,0.334872919,-0.148355852,-0.060711146,0.571667122,0.022938201,0.290117726,0.248269094,0.044680367,0.370495331,0.306504855,0.4391215,0.182366022,0.200796097,0.283904496,-0.089390877,0.123090214,0.094949638,0.110326404,-0.207609049,0.250313325,0.095630423,0.477318249,-0.070242294,-0.240908546,-0.474660423,0.24770929,0.500842957,-0.038570652,0.185012436,0.354551948,-0.011830999,-0.154166962,0.003899242,-0.023426434,0.652019174,0.135469946,0.266993879,0.151127201,0.235667779,0.327409547,0.176975955,0.155688746,0.108162473,0.217309256,0.058318699,0.171615213,0.254565248,-0.050306458,0.138077727,0.025921703,0.129084631,0.281305356,0.057266138,-0.150674587,-0.103694323,-0.069521377,0.004810036,0.082812093,-0.186593772,-0.102134778,-0.208428436,0.311167266,0.1644958,-0.145592644,0.139112321,-0.313805553,-0.179676465,-0.075741298,-0.099993439,-0.069487356,-0.182672665,0.053837059,0.198551414,0.293853638,-0.020935123,-0.303972064,-0.106121415,0.147719771,-0.220416545
2,A,NovelObject,Irr,43.64454739,56.35545261,0.185020013,-0.155709716,0.15078873,-0.03670727,-0.055553467,-0.14643119,0.265608512,0.408361546,-0.187605755,0.003038898,-0.003710881,0.475403414,0.16573133,0.272368583,0.361374637,0.008737192,-0.143927346,0.020582885,0.157741786,-0.119549008,-0.308129223,0.246923261,0.127416785,-0.019894098,0.141715531,0.251016409,-0.023593031,0.185671562,0.513492994,-0.368154532,0.491008294,0.347901466,0.305079292,0.457018026,-0.298398849,-0.065843227,0.314174471,0.114893957,-0.580939371,0.284932567,0.682839417,0.292556301,0.920829889,-0.23834123,-0.202068287,0.577550924,0.230264361,0.089273694,0.146951501,-0.16189659,-0.343429114,0.25390641,0.247817688,0.041501814,0.50093743,0.334507251,0.217274859,-0.117920516,0.050491246,0.343043012,-0.439546201,-0.350551407,0.020456984,0.362084344,0.037009454,0.007306415,0.299514279,-0.218124589,-0.0671482,0.259982535,-0.074665253,0.427068605,0.291262723,0.112708254,0.34245696,0.287413112,0.546773671,0.210892707,-0.137997755,0.456459189,-0.314332601,0.24020357,0.32038328,0.343809805,-0.153326991,0.17389595,-0.056321847,0.382640589,-0.149479367,-0.117036824,-0.85279645,0.111958951,0.547920371,0.010731289,0.197835042,0.255087728,0.062852067,0.038836931,-0.011647461,0.178154792,0.389053848,0.421218653,0.318977866,-0.034348998,0.200417143,0.354028354,0.309429299,0.13985641,-0.191801702,-0.299769467,0.101869936,0.048269192,0.495748427,0.00945406,0.148890554,-0.022285346,0.02822502,-0.022476974,-0.189451637,0.014876313,-0.069498271,0.15276729,0.021026786,0.153245482,-0.591952596,-0.397160843,0.012339767,0.230745969,0.241298639,-0.407076627,0.271138276,-0.380105466,-0.318557981,-0.242650122,-0.372019304,0.005356465,-0.317476263,0.133444464,0.16984235,0.267914235,-0.111954601,-0.154604649,-0.308059491,0.126077607,-0.207120925
3,B,NovelObject,Sham,55.22875361,44.77124639,0.219407736,0.201525128,-0.205831779,-0.224446739,0.068252332,0.116170582,0.047761719,0.358490695,-0.012519055,-0.23269437,-0.043785289,0.126833319,-0.063816872,-0.21978634,-0.136816295,-0.038286836,-0.011558854,0.303477095,-0.155433281,-0.335263398,-0.121603735,0.206804479,-0.191587599,-0.136919301,-0.304839823,0.243462037,0.091412149,0.286517701,-0.065005449,0.030091454,0.006260787,-0.008079174,0.351032572,-0.000828324,-0.642448858,-0.27911864,0.134828182,-0.189305436,-0.377967085,0.185211081,-0.310381305,-0.12013956,0.062501754,0.075532558,0.036977398,-0.038939685,0.417544186,-0.069351474,0.145178941,0.09393891,-0.135309186,0.406347948,0.072504364,-0.13731827,0.386037274,0.379857665,0.03518081,-0.249032156,0.027773701,0.38033947,-0.060222543,-0.178712108,0.15355809,0.459078472,-0.015601411,-0.463903987,0.188115963,-0.066602194,-0.046690511,0.26063278,0.105056811,-0.037102267,-0.121566383,0.204062805,0.08434672,0.134168803,0.175135387,0.133035575,-0.129851881,0.195499881,-0.119364531,-0.102760969,0.212401799,-0.305207125,-0.023022365,0.649084184,0.111116229,-0.240716322,-0.12506012,0.042996798,0.124155379,-0.152197689,0.416398704,-0.024379147,-0.072701451,0.254066154,0.002668611,0.447338028,0.344913792,0.387917204,-0.090030541,-0.024887882,-0.01586058,-0.113083111,0.083409031,0.244532827,0.369165547,-0.112420853,-0.011846919,-0.330058731,-0.061653087,-0.078781323,0.356650661,0.044020281,0.041470769,-0.197035843,-0.143463138,-0.16516799,0.108811929,-0.004582056,-0.032453973,-0.18144665,0.062137203,-0.187455904,-0.119319164,-0.05156365,0.064712399,0.193108063,0.453161006,-0.050514631,-0.141965753,-0.042412997,0.06075961,0.025933066,0.030447271,-0.064504818,-0.185331543,-0.402295641,-0.080496107,0.194713504,0.107728374,0.116220987,0.015557539,0.143971709,-0.042609269
4,B,NovelObject,Sham,84.49998337,15.50001663,0.498686466,0.283451405,-0.318303256,-0.408204339,-0.031277836,0.310540938,-0.24093291,-0.141499858,0.307861285,0.092051714,-0.179672086,-0.139689344,-0.220351446,-0.373864309,-0.398386932,0.293373839,0.200631761,0.104389771,-0.642550052,-0.218172039,-0.279203369,0.311264143,-0.247697199,0.150323009,-0.032699025,0.061550896,0.426230829,0.151520529,-0.158094607,0.129676917,-0.274318358,-0.436007733,0.085112691,-0.288991977,-0.376478534,-0.143312279,-0.317228974,-0.334259634,-0.440975935,0.02598871,-0.632935167,-0.475681635,-0.312351426,-0.144726172,0.208306883,-0.348780069,0.168463738,-0.339916683,-0.312324353,0.039191068,-0.137676584,0.65170166,-0.412947354,-0.214991029,0.033832632,0.070140757,-0.214546783,-0.102067579,0.227975587,-0.072663807,-0.330587346,-0.084118542,0.52172737,0.158232321,0.035568126,-0.194963727,-0.14406445,0.171227766,0.051148546,0.042327335,0.006660334,-0.329620058,-0.430046019,0.017851541,-0.351396603,0.054158523,-0.233996973,0.432779292,-0.401092686,-0.066806092,0.22250935,0.345801163,-0.012639023,-0.695279363,0.22697116,0.608736727,0.011359204,-0.397911538,-0.248070903,0.034380807,-0.277111078,0.207764672,0.051403251,0.068112406,-0.559750774,0.15349599,0.126197368,0.462726025,0.289057461,0.350978714,-0.276797781,0.262992215,-0.347892745,-0.314273303,-0.353747055,-0.037563216,0.023892739,-0.434989547,-0.090862262,-0.214425654,0.043439355,0.088958126,0.521254334,-0.076697383,-0.405219291,-0.447422419,-0.504083561,-0.215655108,-0.14464583,0.113743732,0.224933944,-0.06373482,0.080055406,-0.502735458,-0.398709061,-0.50338322,-0.10666166,0.105516695,0.055494227,0.19968461,-0.516641049,0.370547064,0.006641053,0.00389096,-0.337815478,-0.044618245,-0.475750364,-0.311173876,-0.277740259,0.297288096,0.21765069,0.028139445,0.034219139,0.079254874,0.082242379
5,A,NovelObject,Irr,43.82922101,56.17077899,0.409235009,-0.205738574,0.229539591,-0.277333776,0.06924908,0.40761879,-0.124798813,0.303167478,-0.023342199,0.581646878,0.227518274,0.179531562,0.158108762,-0.083020647,0.072056473,-0.219261497,-0.159159698,-0.249743238,-0.064302276,0.122577679,-0.134234182,0.311435622,0.137186565,0.182864016,-0.254882573,0.15570227,0.372252387,-0.279208634,0.755768793,0.293541775,0.183131814,0.057469594,0.359104721,0.206187903,-0.210324391,-0.0300805,0.148317087,-0.236431339,-0.427678029,0.578182508,0.239602421,0.040462653,0.493522656,-0.298708982,0.232953332,0.414022836,0.156839103,-0.282726903,-0.09624588,0.22192878,-0.087764578,0.372294602,0.178030638,-0.285208005,0.403147941,0.274220172,0.535358856,0.286726422,-0.095617188,0.439357234,-0.058668768,0.239833685,-0.218019471,0.349698177,0.091130616,0.010613368,0.306783234,-0.033564211,0.026050447,0.416261872,0.124389108,0.039550651,0.155191683,0.626750159,-0.136930397,0.185735404,0.318034074,0.399343616,-0.046121963,0.129033217,0.161541623,0.21200574,0.565639753,-0.22203075,0.001213387,0.777345167,0.27240384,0.127098339,-0.065932464,-0.084257152,-0.739605237,0.081255502,0.498087279,-0.047060601,-0.048015061,0.313937153,-0.043100253,0.422438025,0.056940995,0.493846774,0.196962286,0.269523512,0.034572487,-0.04118725,0.129945356,0.240343934,0.016563781,-0.073357319,-0.084375667,-0.15635063,-0.160819021,-0.13442378,0.264211414,0.022493338,-0.026164458,-0.351613114,-0.263639695,0.169172335,0.189227913,-0.009655394,0.395946031,0.20986329,0.005055245,0.080909788,-0.046259493,-0.086377643,0.120605042,-0.221092601,0.361993057,0.392945973,-0.166987323,0.072207988,-0.207103589,0.111989711,0.122948628,0.364586382,0.093618934,0.19889649,0.001174841,0.352509792,-0.119943736,-0.273347796,0.060290458,0.076778616,-0.233274714
6,A,NovelObject,Irr,27.65780374,72.34219626,0.659693176,0.119900847,-0.374353388,-0.890153905,0.164454423,0.383149491,-0.871974024,-0.680122573,0.106451552,0.140181642,-0.309921248,0.109261388,-0.792692749,-1.071862755,-0.725783073,0.247543932,0.116832983,-0.474447029,-1.046018846,-0.322512538,-0.02405369,0.055348995,0.056370472,-0.0755762,0.054016747,0.311334844,0.291087642,-0.536076265,-0.105404036,-0.37003814,0.445171686,-0.890235066,0.085658874,0.491246399,-0.251027961,0.051054281,-0.809448768,-0.808326197,-0.530582511,0.12013455,-0.031024401,-1.053003919,0.070100756,-0.077228009,0.069097697,-0.011999775,0.115674165,-0.652013223,-0.129204256,-0.169201915,-0.617986543,0.610355484,-0.5285014,0.044859473,0.315256278,0.609482349,-0.158334375,0.054955621,-0.463474021,0.049491269,-0.406801364,0.152309786,0.521270846,0.279415005,0.110079624,-0.224225027,0.371859751,-0.037443013,-0.107367599,0.363661188,-0.103167171,-0.806047726,-0.651923742,0.046930276,-0.170662958,0.257314796,-0.004038616,0.369401565,-0.038368994,-0.03758538,0.106293527,-0.346229936,0.129529101,-0.763510026,-0.081486422,0.629973062,-0.038004379,0.350158781,-0.379834061,0.151199682,-1.130864602,0.353735136,0.32198481,0.136226934,-0.906856222,0.357452106,0.301559191,0.612483277,0.145007143,0.475607648,0.292886967,0.149598619,-0.899628648,-0.302979104,-0.616227028,-0.05743279,0.035677453,-0.795217244,0.097694636,0.215825882,0.239544422,0.008871361,0.570923462,-0.401301693,-0.72630781,-0.688039341,-0.923926025,0.357001932,-0.048334585,0.340410063,0.11840603,-0.311718052,0.09187901,-0.813795892,-0.496026781,-0.645640034,0.007349812,-0.515787772,0.119694406,0.264207805,-1.040855489,0.333895335,-0.083801271,0.11294343,-0.235697334,-0.164454445,-0.401267288,-0.38339039,-0.567132825,0.197976166,-0.057408584,0.020818787,-0.176241289,0.191152275,0.111687019
7,B,NovelObject,Sham,67.69025553,32.30974447,0.114070088,-0.499085065,0.353362904,-0.316644617,-0.135977961,0.152897744,-0.121245033,-0.397915962,-0.295235285,-0.104131318,0.305952854,0.900022218,-0.107009335,-0.24977241,-0.210424722,-0.133897287,-0.400676444,0.269463708,-0.297743139,-0.018780825,-0.108081146,0.355312944,-0.404752811,-0.190073091,0.249035074,0.465239125,0.011470767,0.051083026,0.453182528,-0.2348263,0.314939276,-0.143362117,0.109128601,0.326014035,0.226189605,0.254911342,-0.187354839,-0.386110271,-1.120477078,-0.233832142,0.275622534,-0.334782957,0.345852707,-0.222637097,-0.009176346,0.145620743,-0.056879599,-0.561295504,0.5594048,-0.556674678,-0.174405466,0.264080513,0.185469438,0.218206888,0.47690506,0.449174045,0.137428717,0.603926809,0.023279105,0.269621749,-0.305339071,0.670782876,0.072446352,0.138752882,-0.137212212,0.459356516,0.468259768,-0.16601219,-0.131041441,0.587016974,0.317043953,-0.122908421,-0.004933305,0.386016454,-0.078845725,0.117461626,0.242938948,-0.003441199,0.571125355,0.635332813,0.247778489,0.16789033,0.32478476,-0.316312286,0.430815319,0.131441974,0.094889815,0.326350995,-0.829251882,0.397390487,-1.05517277,0.047406337,0.288325703,0.0900019,-0.314602107,0.541211312,0.335416746,-0.498269212,0.301906856,-0.248559165,0.130850184,0.401910796,-0.327159789,0.023378785,-0.129048577,-0.136530154,-0.073984548,-0.19579681,0.410619374,-0.155755763,-0.135256961,0.32303852,0.409148887,-0.053326915,-0.008878261,-0.312378339,-0.217998876,0.070022576,0.090043317,0.319615701,0.138026793,-0.090576014,0.04038985,-0.110274487,-0.322579718,-0.361477802,0.635029489,0.116577876,0.549240911,0.283813299,-0.076176262,0.092735547,-0.720305259,-0.155324971,0.183498645,-0.141561149,0.193182084,0.191652807,0.022534472,0.1889206,-0.22915441,0.096631836,-0.097482323,0.068054459,0.015798524
8,B,NovelObject,Sham,51.76233321,48.23766679,-0.796761951,-0.211293221,0.211996487,-0.009370878,-0.359341769,0.005445172,0.37534233,0.260637136,-0.152578567,0.021805217,0.344451169,0.676443023,0.848078559,0.309929822,0.502206507,-0.641020457,-0.237511962,-0.406135547,0.420949306,0.288602066,0.406937139,0.274072375,0.239892165,-0.291390186,0.408994211,0.204886469,-0.17614198,-0.29592615,-0.085589322,-0.412810817,0.006597838,0.515840737,0.100506011,0.059207468,0.365300153,0.651790946,0.350840961,0.115269895,-0.580084832,-0.154271987,0.100025618,0.614647277,0.248668951,0.014001736,0.104828741,0.092340009,0.062461806,-0.017265105,0.020242748,-0.067741304,0.04527238,-0.067525647,0.329287974,0.288898045,0.424574785,0.17302949,0.171683993,0.167398693,-0.102464298,0.276157794,-0.294736111,-0.114221334,-0.671743544,0.170249657,0.157450255,0.294848159,0.193481254,-0.271160351,-0.203509107,0.298690672,-0.05390186,0.507359988,0.375781866,-0.077969385,0.178314794,0.290115401,0.354043875,-0.411727669,-0.156917435,0.359228992,0.088112547,0.363865019,0.026135973,0.28010052,-0.065553552,-0.0998778,0.013033475,-0.015940666,0.163511746,0.081371394,0.529996973,0.19176384,0.269340395,-0.040681472,0.216748591,0.507342831,-0.155778003,-0.72637386,0.418054128,-0.448436475,-0.205963873,0.32780014,0.551906884,0.158929837,0.279650334,-0.090607256,0.363306077,0.192445041,-0.306979734,-0.388932087,0.135251411,0.182024046,0.323690002,-0.058424768,0.30773642,0.21668207,0.067318953,-0.376019864,0.206397703,-0.394574958,0.323549853,0.233355866,-0.008904323,0.292388386,-0.248707464,-0.268588009,0.163197419,-0.045186757,0.256757814,0.178191528,0.263720438,-0.245365074,0.259525773,-0.103872797,0.376965666,0.149020028,0.413160994,0.243313679,0.40250969,0.115138423,-0.238186359,-0.138586277,-0.080244813,-0.042331492,-0.204748423
9,A,NovelObject,Irr,48.77330269,51.22669731,0.206925554,-0.141127695,-0.21085159,-0.107955254,0.034872315,0.279594324,-0.247618118,-0.231958193,-0.186991766,0.323082501,0.254833182,0.375930526,-0.011710327,-0.268162772,-0.286285042,0.161378734,-0.131687263,-0.346110735,-0.196259227,0.25659426,0.222576142,0.439650856,0.080725782,-0.310180016,0.253677026,0.347064257,0.165123693,-0.025604929,0.288855769,-0.440768251,0.250527368,-0.189096397,0.041223258,0.293212061,0.272670406,0.427808492,-0.108940217,-0.326383944,-1.13093141,0.198479019,0.1302477,-0.23723018,0.070707832,-0.172675517,-0.149313525,-0.036783837,0.159770958,-0.384502925,0.306856963,-0.205689467,0.088835296,0.406648856,-0.189438729,0.258789587,0.236603528,0.125965886,0.057056586,-0.036720147,-0.091557019,0.072900715,0.00920894,-0.028869893,0.249836668,-0.067203545,0.01316867,0.257500015,0.254462252,-0.26838946,-0.444587418,0.092725115,0.10325804,-0.209686293,-0.244278313,0.001641552,0.010712323,0.240221141,0.110096842,0.182778958,-0.243565516,0.174947259,0.0082206,0.20847694,0.105986869,-0.382967894,0.040786991,-0.168565626,0.062654803,0.154565669,-0.255043829,0.413070218,-1.136379248,0.247443497,0.109307596,0.003879861,-0.249778185,0.354121909,0.152389678,0.308816976,0.396513746,0.348833653,0.214247427,0.408961619,-0.183272626,0.062109936,-0.238962627,0.01349335,0.15598129,-0.226201849,-0.178836936,-0.482361849,0.223753949,0.547868078,0.360441748,-0.194719156,-0.228003233,-0.231782791,-0.232155002,0.270673426,0.097624448,0.098244647,0.28660241,0.01235716,0.028865254,-0.074356061,-0.069833914,-0.141150214,0.260154888,-0.157748806,0.093484234,0.247615513,-0.314760433,0.047171883,-0.124164463,0.008715093,0.085140268,-0.076038281,0.03275528,0.132753838,-0.211157121,0.18445239,-0.137458023,-0.052386346,-0.014661284,0.122228936,0.003293606
10,A,NovelObject,Irr,41.02885478,58.97114522,0.250418783,-0.370088996,0.204970796,-0.251438901,-0.267855503,0.440673299,-0.127105557,-0.499400816,0.048175233,0.641789884,0.071539041,-0.091755216,-0.300713309,-0.257206078,-0.146725591,-0.141025328,-0.213396892,-0.187462565,0.001448287,0.140579256,0.272408647,0.160531545,0.16250191,0.055766712,-0.034520243,0.458335021,0.267053453,-0.374919518,0.253463347,-0.381274145,0.065806383,-0.323973684,-0.148916371,0.057268087,0.604633229,0.276846604,-0.158929329,-0.389759292,-0.570214527,0.250857819,0.462349419,-0.248442994,0.239523422,-0.047565994,0.139655202,0.414246699,0.139453654,-0.507324944,-0.02356572,0.302266343,0.217322304,0.3703149,-0.081930673,0.069572422,0.184436155,0.212477817,0.329367756,0.028452255,-0.350411103,0.343036343,0.141927368,0.547593464,-0.131492297,0.026552389,0.416628238,0.106287481,0.484738859,-0.021923643,0.126465652,0.534648464,0.163860033,-0.42361355,-0.024319113,0.350347459,0.155922156,0.194566706,0.236940217,0.417350632,0.126957133,-0.030319219,0.396490875,-0.048699635,0.416267825,0.071522208,0.143440901,-0.300020537,0.267676565,0.186427629,-0.205632687,0.372362214,-0.395901323,0.284002811,0.182135262,-0.013591807,-0.209165802,0.447667779,0.045647841,0.261149085,0.254454941,0.324087266,0.105626878,0.326137574,-0.042324324,-0.147241764,0.000111461,-0.111128309,0.371721146,-0.313675493,0.100448414,0.717804193,0.007121895,0.044269726,0.303854478,0.018166894,-0.197316798,-0.205027372,-0.079020513,0.480687454,0.393500042,0.150681634,0.300734677,-0.124052029,0.062191057,-0.110740423,0.115726603,0.169918179,0.266478387,-0.401258768,0.226676608,0.604102892,-0.26191813,0.247372546,0.190688169,0.138136233,0.492008159,0.215548505,0.285983717,0.014392553,-0.074484565,0.083297904,-0.313019503,-0.316974031,0.042062955,-0.018292979,-0.040168067
