"Based on noiseRem,RT,Repeat Rem",,Cortx27,Cortx18,Cortx25,Cortx20,Cortx17,Cortx19,Cortx26,Cortx28,Cortx31,Cortx32,Cortx24,Cortx29,Cortx21,Cortx23,Cortx22,Cortx30,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3,Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,QCCortx 1,QCCortx 2,QCCortx 3,QCCortx 4,QCCortx 5,QC HIP1,QC HIP 2,QC HIP3,QC HIP 4,QC HIP 5,QC Mix 1,QC Mix 2,QC Mix 3,QC Mix 4,QC Mix 5
Accepted Compounds,Cleaned Names,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,QCCortx,QCCortx,QCCortx,QCCortx,QCCortx,QCHip,QCHip,QCHip,QCHip,QCHip,QCMix,QCMix,QCMix,QCMix,QCMix
1,PS(22:6/22:4),-1.131186763,-0.139979242,0.174024574,0.063278641,0.086510697,0.35814472,-0.370171677,-0.338364534,0.075043259,0.27212148,0.781085586,0.362049765,-0.639348318,0.318802215,0.176824032,0.289780575,-0.186398622,0.250418783,0.185020013,0.409235009,-0.116869378,0.206925554,0.232022355,0.659693176,0.083844098,-0.796761951,-0.167867163,0.114070088,-0.024059354,-0.003085118,0.498686466,0.219407736,-0.491120013,-0.319319228,-0.150083195,-0.024778337,-0.022638373,-0.38071428,-0.22947977,-0.070785007,0.301605909,-0.342690953,0.569132505,0.513309816,0.100437555,-0.038603608,0.488090279,-0.271150551,-0.6879328,0.494106426,-0.014501217,-0.016811116,0.315003593,0.160144924,0.551589521,-0.352758467,-0.704114737,-0.716656234,0.349504036,-0.026962245,0.267106017,0.222840455,0.095591145,0.195596784,-0.166540411,0.024806708,-0.085055334,-0.05245708,0.061700194,-0.147050927,-0.003974709,-0.144420596,-0.304340661,-0.253565932,-0.180716272,-0.004335533,-0.134389956,-0.165694972,-0.109820054
2,DG(16:0/20:3),-0.341960102,-0.126284823,-0.841879045,0.166400215,-0.366118399,0.39989812,0.069789884,-1.01525997,0.181571637,0.314154936,0.014430552,-0.32698129,-0.687551516,0.203838622,0.183882397,0.193663791,-0.56625977,-0.370088996,-0.155709716,-0.205738574,-0.123976696,-0.141127695,0.120621778,0.119900847,-0.130821927,-0.211293221,-0.23699635,-0.499085065,-0.046107681,-0.281407805,0.283451405,0.201525128,-0.073568364,-0.24160446,0.179113326,0.982871976,0.014748745,0.448706399,0.521259791,0.123922459,0.112180838,0.353877582,0.096183335,0.104798701,0.165774001,0.377672628,0.788736507,0.310671289,-0.76078021,0.328729787,-0.14907007,0.091603977,0.054179326,-0.262517071,0.376716407,0.34977026,-0.210138784,-0.227884271,0.154529406,-0.067913831,-0.086493494,0.160616537,0.059307375,0.018240637,-0.590835933,-0.041751647,-0.169287819,-0.375279185,-0.450555878,0.05689625,0.365300441,0.422484546,0.348468255,0.221612393,-0.028878853,0.042191845,0.175149203,0.031781659,0.119983314
3,PE-NMe2(20:4/24:0),0.008212303,0.314853508,-0.269807578,-0.136904604,-0.104620702,-0.1687665,0.297743017,-0.026003132,0.009923722,0.444351655,0.110142992,0.040990098,-0.244126943,-0.272234225,0.038960815,0.14920032,0.138226696,0.204970796,0.15078873,0.229539591,-0.003721186,-0.21085159,0.13439598,-0.374353388,0.15408627,0.211996487,-0.015688663,0.353362904,0.541559038,-0.176522109,-0.318303256,-0.205831779,0.162858937,0.768266343,0.2082378,0.13073306,0.115595572,0.061950771,-0.400118221,0.107015771,0.08357111,0.189488205,0.080222466,0.035067468,0.234789786,-0.449701019,-0.372880375,0.044586291,0.072737445,0.083288069,0.500669545,0.200602203,0.109233805,-0.051489619,-0.018724184,-0.082979639,0.267531199,0.340854038,-0.094760573,0.39918717,-0.104091612,-0.328837748,-0.003167861,0.308292248,-0.011732398,-0.181475444,-0.234113352,-0.299656431,-0.371590117,0.048606036,-0.126809606,-0.314533626,-0.375002508,-0.379427776,-0.167435323,-0.218763233,-0.307275387,-0.351081288,-0.313307269
4,PE(18:0/20:1),-0.058596014,-0.001993217,-0.237563129,-0.018717579,0.020617227,0.05973632,0.634511691,0.180819046,-0.24759798,-0.157141613,-0.102252459,-0.463002395,0.895313325,-0.064219277,-0.029455859,0.077011035,0.371318054,-0.251438901,-0.03670727,-0.277333776,0.033467127,-0.107955254,-0.074020659,-0.890153905,0.267923124,-0.009370878,-0.167167632,-0.316644617,-0.033008759,-0.061843576,-0.408204339,-0.224446739,0.398509671,0.239452413,0.228179578,-1.234597184,0.463965589,0.759178593,-0.397147185,0.363504573,-0.030348768,0.168371584,-0.008042069,-0.043551279,-0.378368278,-0.307386571,-1.125400294,0.07157514,0.065710936,0.759654925,0.182432492,0.305371729,0.16903105,0.16174644,-0.180402223,0.36660169,0.561901629,0.334236164,0.033761374,0.414596381,0.672533443,0.092914252,0.737481634,0.186953671,0.050112438,-0.494853346,-0.301781116,-0.090976713,0.151711663,0.047021334,-0.250945433,-0.269087581,-0.251500159,-0.072476428,-0.184612981,-0.19075194,-0.17360462,-0.170321937,-0.132235401
5,(3'-sulfo)Galbeta-Cer(d18:1/16:0(2OH)),-0.563746065,-0.21441103,-0.352056924,-0.014894965,0.043850772,-0.014723491,-0.299360241,-0.337343583,-0.315364476,-0.062448406,-0.391548202,-0.068839873,-0.958349933,-0.039177946,-0.336474358,0.0672388,-0.129349906,-0.267855503,-0.055553467,0.06924908,-0.187358514,0.034872315,0.010057493,0.164454423,-0.414425032,-0.359341769,-0.223483514,-0.135977961,-0.031062344,-0.17570894,-0.031277836,0.068252332,-0.224743493,0.049310515,0.308835087,0.575482606,0.321847224,0.25493659,0.603240853,0.200266861,0.116018859,0.165566986,0.047678192,0.238066209,0.139571386,0.403422029,0.346685987,0.129033872,-0.095675594,0.054500717,0.027965063,0.144016453,0.394250748,0.075604088,0.451218936,0.398789839,-0.497699847,-0.112013009,0.096787948,0.126051831,-0.201772011,0.614313387,0.183375863,0.086720823,-0.471881295,-0.148094198,-0.006712886,-0.239583019,-0.410005238,0.044336597,0.231025433,0.258592588,0.267355849,0.236318169,-0.166195429,0.126990229,0.184422441,0.215687638,-0.021752812
6,PC(18:0/24:4),0.029939621,-0.149681549,0.53218043,0.115673775,-0.12622161,0.061427281,-0.149986533,0.206765286,-0.154434804,0.164652303,0.26307594,0.416244552,-0.736612055,0.194634769,0.169249699,-0.112272443,-0.245972831,0.440673299,-0.14643119,0.40761879,0.187800655,0.279594324,0.224703695,0.383149491,-0.095739729,0.005445172,-0.040452937,0.152897744,0.232366696,0.427962841,0.310540938,0.116170582,-0.195570928,-0.302576197,0.076316405,0.085395331,-0.183320242,-0.652897265,-0.382667535,0.014893886,-0.48057682,-0.396456809,-0.287304634,-0.247975775,-0.015807496,-0.256864734,0.30946695,0.016029291,-0.50317099,-0.766967294,-0.072606031,-0.007584824,-0.182388084,-0.210121409,0.101130468,-0.316402501,-0.372439598,-0.451780778,-0.180684811,-0.173279525,-0.300012342,-0.183696745,-0.081670629,-0.047825152,-0.126013671,0.413634707,0.510474366,0.359163781,0.403587586,-0.189513856,0.091628658,0.252833082,0.205587438,0.128338407,0.038900691,0.277525013,0.293182839,0.326622371,0.298503203
7,HexCer(d18:1/26:1),0.24954808,0.16725719,-0.238848227,0.019478986,0.173691179,-0.230654934,0.469457213,0.24819109,0.236729289,0.056811534,0.114378056,-0.28065758,0.654950427,-0.152445251,0.061993263,0.183992899,0.628612503,-0.127105557,0.265608512,-0.124798813,0.012660411,-0.247618118,0.192212521,-0.871974024,0.294780562,0.37534233,0.02310679,-0.121245033,0.125239561,-0.109779802,-0.24093291,0.047761719,0.20069079,0.2620818,-0.114853112,-0.901911508,0.402601768,0.317917333,-0.548714447,0.058526689,-0.102448497,0.141669077,0.042455411,0.041731084,-0.349219757,-0.310748758,-1.231566729,-0.096667067,0.224378799,0.676915296,0.268870362,0.214289147,0.659791228,0.579636256,-0.097530658,-0.051628366,0.500832883,0.230795417,0.365767702,0.39970742,0.719672637,-0.27014271,0.404495482,-0.280126745,0.122927866,-0.23988607,-0.202194931,-0.20022187,-0.165703667,-0.198780159,-0.352352237,-0.390825787,-0.471286412,-0.611547971,-0.120772438,-0.312657319,-0.379955323,-0.353075073,-0.336680704
8,PS(22:2/24:0),0.138804724,0.036148582,-0.140175242,-0.414430822,-0.107729417,-0.284414605,0.406583045,0.29159049,0.49410799,0.318895809,0.504643301,0.256383255,0.800145135,0.563535598,0.750293452,0.638266195,0.271369116,-0.499400816,0.408361546,0.303167478,0.172371622,-0.231958193,0.528309067,-0.680122573,0.011551326,0.260637136,-0.241037169,-0.397915962,-0.070453405,0.05331311,-0.141499858,0.358490695,-0.067500289,-0.165514964,-0.356672807,-1.902578375,-0.144061569,-0.238501832,-1.099586784,-0.124561094,-0.301281529,0.221531282,0.199006157,-0.507701028,-0.227594088,-0.478948693,-1.273186287,0.194590314,-0.022849576,0.119567864,0.009010113,-0.177214716,0.062098297,-0.024883279,-0.027514001,-0.264771994,-0.003804861,-0.134184429,0.176686792,-0.132455509,0.810342346,-0.78528669,0.184097647,-0.327167543,0.129351541,0.227776742,0.389428346,0.44191748,0.532378098,-0.068202532,0.019757966,-0.064279061,0.02274197,0.003522208,0.082950843,0.134935209,0.12906428,0.219794813,0.251922612
9,LysoPE(20:4),-0.186915497,0.038683085,-0.382005788,0.165724811,-0.171328504,-0.040115127,0.010238329,-0.463815925,0.303351093,0.410803102,0.261498363,0.074450675,-0.937331369,-0.062581275,0.013346656,0.146581426,-0.348459507,0.048175233,-0.187605755,-0.023342199,-0.138278059,-0.186991766,-0.012158636,0.106451552,0.145676867,-0.152578567,0.056148306,-0.295235285,-0.151496011,-0.199512929,0.307861285,-0.012519055,-0.046492492,0.180696882,0.037807482,0.069369855,-0.142679817,0.069475422,0.05428733,0.198790573,0.243821772,0.324941105,0.331192858,0.29901134,0.172210143,0.169961164,0.629477088,0.007219262,-0.207924667,0.050189625,-0.047887616,-0.000981499,-0.050133145,-0.081683216,0.072678909,0.048982073,-0.081016362,0.190792902,0.146631544,0.084131869,0.001641348,-0.177511527,-0.20565222,0.152518935,0.093971228,-0.045003786,-0.155707409,-0.430380605,-0.232092761,0.218067233,0.026497631,0.021264387,0.075843586,-0.049748305,0.041403587,-0.151503975,0.050637761,-0.071775923,-0.022059097
