"Based on noiseRem,RT,Repeat Rem",Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,QC HIP1,QC HIP 2,QC HIP3,QC HIP 4,QC HIP 5
Accepted Compounds,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,QCHip,QCHip,QCHip,QCHip,QCHip
1,-0.491120013,-0.319319228,-0.150083195,-0.024778337,-0.022638373,-0.38071428,-0.22947977,-0.070785007,0.301605909,-0.342690953,0.569132505,0.513309816,0.100437555,-0.038603608,0.488090279,-0.271150551,-0.6879328,0.494106426,-0.014501217,-0.016811116,0.315003593,0.160144924,0.551589521,-0.352758467,-0.704114737,-0.716656234,0.349504036,-0.026962245,0.267106017,0.222840455,0.095591145,0.195596784,-0.147050927,-0.003974709,-0.144420596,-0.304340661,-0.253565932
2,-0.073568364,-0.24160446,0.179113326,0.982871976,0.014748745,0.448706399,0.521259791,0.123922459,0.112180838,0.353877582,0.096183335,0.104798701,0.165774001,0.377672628,0.788736507,0.310671289,-0.76078021,0.328729787,-0.14907007,0.091603977,0.054179326,-0.262517071,0.376716407,0.34977026,-0.210138784,-0.227884271,0.154529406,-0.067913831,-0.086493494,0.160616537,0.059307375,0.018240637,0.05689625,0.365300441,0.422484546,0.348468255,0.221612393
3,0.162858937,0.768266343,0.2082378,0.13073306,0.115595572,0.061950771,-0.400118221,0.107015771,0.08357111,0.189488205,0.080222466,0.035067468,0.234789786,-0.449701019,-0.372880375,0.044586291,0.072737445,0.083288069,0.500669545,0.200602203,0.109233805,-0.051489619,-0.018724184,-0.082979639,0.267531199,0.340854038,-0.094760573,0.39918717,-0.104091612,-0.328837748,-0.003167861,0.308292248,0.048606036,-0.126809606,-0.314533626,-0.375002508,-0.379427776
4,0.398509671,0.239452413,0.228179578,-1.234597184,0.463965589,0.759178593,-0.397147185,0.363504573,-0.030348768,0.168371584,-0.008042069,-0.043551279,-0.378368278,-0.307386571,-1.125400294,0.07157514,0.065710936,0.759654925,0.182432492,0.305371729,0.16903105,0.16174644,-0.180402223,0.36660169,0.561901629,0.334236164,0.033761374,0.414596381,0.672533443,0.092914252,0.737481634,0.186953671,0.047021334,-0.250945433,-0.269087581,-0.251500159,-0.072476428
5,-0.224743493,0.049310515,0.308835087,0.575482606,0.321847224,0.25493659,0.603240853,0.200266861,0.116018859,0.165566986,0.047678192,0.238066209,0.139571386,0.403422029,0.346685987,0.129033872,-0.095675594,0.054500717,0.027965063,0.144016453,0.394250748,0.075604088,0.451218936,0.398789839,-0.497699847,-0.112013009,0.096787948,0.126051831,-0.201772011,0.614313387,0.183375863,0.086720823,0.044336597,0.231025433,0.258592588,0.267355849,0.236318169
6,-0.195570928,-0.302576197,0.076316405,0.085395331,-0.183320242,-0.652897265,-0.382667535,0.014893886,-0.48057682,-0.396456809,-0.287304634,-0.247975775,-0.015807496,-0.256864734,0.30946695,0.016029291,-0.50317099,-0.766967294,-0.072606031,-0.007584824,-0.182388084,-0.210121409,0.101130468,-0.316402501,-0.372439598,-0.451780778,-0.180684811,-0.173279525,-0.300012342,-0.183696745,-0.081670629,-0.047825152,-0.189513856,0.091628658,0.252833082,0.205587438,0.128338407
7,0.20069079,0.2620818,-0.114853112,-0.901911508,0.402601768,0.317917333,-0.548714447,0.058526689,-0.102448497,0.141669077,0.042455411,0.041731084,-0.349219757,-0.310748758,-1.231566729,-0.096667067,0.224378799,0.676915296,0.268870362,0.214289147,0.659791228,0.579636256,-0.097530658,-0.051628366,0.500832883,0.230795417,0.365767702,0.39970742,0.719672637,-0.27014271,0.404495482,-0.280126745,-0.198780159,-0.352352237,-0.390825787,-0.471286412,-0.611547971
8,-0.067500289,-0.165514964,-0.356672807,-1.902578375,-0.144061569,-0.238501832,-1.099586784,-0.124561094,-0.301281529,0.221531282,0.199006157,-0.507701028,-0.227594088,-0.478948693,-1.273186287,0.194590314,-0.022849576,0.119567864,0.009010113,-0.177214716,0.062098297,-0.024883279,-0.027514001,-0.264771994,-0.003804861,-0.134184429,0.176686792,-0.132455509,0.810342346,-0.78528669,0.184097647,-0.327167543,-0.068202532,0.019757966,-0.064279061,0.02274197,0.003522208
9,-0.046492492,0.180696882,0.037807482,0.069369855,-0.142679817,0.069475422,0.05428733,0.198790573,0.243821772,0.324941105,0.331192858,0.29901134,0.172210143,0.169961164,0.629477088,0.007219262,-0.207924667,0.050189625,-0.047887616,-0.000981499,-0.050133145,-0.081683216,0.072678909,0.048982073,-0.081016362,0.190792902,0.146631544,0.084131869,0.001641348,-0.177511527,-0.20565222,0.152518935,0.218067233,0.026497631,0.021264387,0.075843586,-0.049748305
10,0.252379149,0.319611408,-0.105891059,-0.177899237,-0.076409891,-0.424290821,-0.894906553,0.237833312,-0.226274875,0.011463586,0.347587843,-0.094644038,-0.22119206,-0.572399811,0.35030317,-0.173030021,0.149794544,-0.401534335,0.014945562,0.119808225,-0.1170799,-0.063504152,-0.196953221,-0.323483622,0.342861333,0.538180113,0.011967992,0.087545824,-0.081175581,-0.468110354,-0.002317233,-0.143942741,-0.131607452,-0.180385591,-0.271354038,-0.359109158,-0.291040662
13,0.437060528,0.303384956,-0.07548436,-0.987698982,-0.157950714,-0.276305083,-0.62249469,-0.069463483,-0.388941963,0.063823513,0.309573793,-0.596997433,-0.334424403,-0.580095718,-0.907879297,-0.19585675,0.882442258,-0.062537268,0.433799371,0.22840539,-0.220918264,-0.021927723,-0.431651248,-0.265797164,0.752810569,0.662978041,0.180025398,0.057865996,0.360813032,-0.60066134,0.092633009,-0.375392906,-0.00992883,-0.191898326,-0.277913081,-0.284740681,-0.321697309
14,0.336132808,0.111582194,-0.082044603,-1.117341964,0.168104565,0.173771531,-0.551199175,0.024527203,-0.121153535,0.423897452,0.224218848,-0.154575228,-0.353853568,-0.464415942,-1.077876771,-0.052796429,0.197688185,0.48737563,0.288231777,0.166342213,0.315475122,0.262406619,-0.148673023,-0.179345239,0.5002136,0.262048021,0.230519447,0.164100438,0.581369007,-0.400330908,0.285838715,-0.174980722,0.044827304,-0.136990458,-0.180046196,-0.164010968,-0.276209614
15,0.259077101,0.345773452,-0.166617073,-1.259405945,0.212284052,0.136780532,-0.775427031,0.094535607,-0.096115641,0.128028538,0.175825207,-0.224935366,-0.304760451,-0.685116106,-1.043834518,0.056479782,0.491001517,0.313173828,0.337342185,0.118705819,0.096743256,0.178769516,-0.096438046,-0.179117819,0.434735956,0.370370631,0.013236716,0.296380907,0.405044554,-0.518862584,0.205494455,-0.216537052,-0.059872964,-0.25962344,-0.349642379,-0.298187091,-0.245989741
16,-0.130479721,-0.180375382,0.341890081,0.652035751,0.655956512,0.602425635,0.740663923,0.240420139,0.429388368,-0.168444209,0.077485807,0.737046162,0.151340151,0.527090293,0.239357136,0.066702547,-0.880482123,0.676894806,-0.035930541,0.361323196,0.799871781,0.619068985,0.68947309,0.362067684,-0.583096288,-0.55014014,0.419835115,0.376153617,0.077166451,0.920785888,0.513581536,0.72146622,0.198617793,0.399664033,0.372119783,0.260016681,0.171707934
17,-0.010140215,0.12429219,0.320985854,0.694084335,0.228760925,0.29613304,0.422526843,0.107803093,0.312963569,0.424350517,0.08757287,0.507218291,0.381498056,0.527840034,0.584662396,0.270456665,-0.60311738,0.418924364,0.006557655,0.13761415,0.206018422,0.072098682,0.397850506,0.249924253,-0.290314785,-0.020751047,0.389637477,0.150154212,-0.131126046,0.294369921,0.054816424,0.27187292,0.140856497,0.296324286,0.273464717,0.215249236,0.248459456
