"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37"
"1",0.12796,0.13061,0.066922,0.034629,-0.0032187,0.053326,-0.15883,-0.10141,-0.18394,-0.12724,-0.22381,0.18412,-0.085385,0.066453,0.12885,-0.080942,0.030824,0.087929,-0.015348,-0.072919,-0.054142,0.28536,-0.035361,-0.16354,-0.11472,-0.0015301,0.10589,0.14958,0.069393,0.039005,0.11309,0.057251,0.028159,0.11189,0.099672,-0.05584,-0.085536
"2",0.055937,0.14226,0.011682,0.22209,-0.031979,0.059653,-0.095969,0.03114,0.18514,-0.0037455,0.11062,-0.010994,0.077448,-0.11039,-0.16769,0.060335,0.068414,0.080072,0.1131,0.047461,0.091138,0.10134,-0.014704,0.28439,-0.0482,0.065193,0.069626,-0.089289,0.023768,-0.014525,-0.086567,-0.039273,-0.01221,0.040642,-0.035497,0.0046772,0.27268
"3",-0.019062,-0.050058,0.011923,0.12839,0.11956,-0.042877,-0.12792,-0.11548,-0.011136,0.086699,-0.07401,-0.2404,0.12393,-0.1897,0.10441,-0.0117,-0.0065525,-0.06257,-0.099998,-0.037466,0.040958,-0.077019,-0.032742,-0.13374,-0.00051607,-0.030371,-0.091577,0.027474,0.084591,-0.060757,0.1143,0.024566,-0.023496,0.02692,0.090739,0.056237,0.21905
"4",-0.13905,-0.020739,-0.046332,0.087043,-0.022837,-0.043079,-0.0038285,-0.0010263,-0.16542,0.028311,0.032014,0.14454,-0.11532,0.11194,-0.019608,-0.0096881,-0.10588,-0.12301,-0.12369,0.053004,0.095312,-0.08835,-0.051754,0.14247,-0.026979,0.13098,0.06257,0.0302,-0.14484,-0.038805,0.051674,-0.025962,-0.07316,0.039109,-0.1028,-0.05535,0.029176
"5",0.085338,0.054369,-0.0037347,0.075379,-0.013177,0.0086794,0.052536,-0.056031,-0.047705,0.040049,-0.10304,-0.17801,0.015966,0.01959,-0.060869,0.066715,-0.078282,-0.065336,0.087881,-0.25025,-0.043657,0.12064,-0.032711,0.019028,0.1418,-0.073266,-0.13719,-0.099633,0.089086,-0.0096371,-0.12088,0.034492,0.042028,0.11683,-0.14338,-0.12439,0.065717
"6",0.1016,0.0046298,0.097914,-0.089752,-0.042352,-0.074045,-0.0044819,0.053948,-0.026086,0.13138,-0.078394,0.031619,0.19265,0.049647,-0.1149,0.025243,-0.14795,-0.023167,0.11783,0.1199,-0.0079298,-0.041609,0.097578,-0.063316,0.016067,-0.048237,0.04984,0.083954,-0.0449,0.020737,0.0044221,0.067142,-0.048649,-0.054952,0.099679,0.078088,-0.043634
"7",-0.12539,-0.062926,-0.017329,0.12605,0.067529,0.071962,0.0050141,-0.0071434,-0.08025,0.0056313,-0.017322,-0.066325,-0.033855,-0.035602,-0.068587,-0.045322,0.043824,0.030416,0.011981,-0.034247,0.038988,-0.089073,-0.081216,-0.036617,0.046259,0.034754,0.028337,0.12875,-0.044234,-0.11546,0.01327,-0.082594,0.03184,-0.023224,0.0068788,-0.070092,-0.36124
"8",-0.12824,0.072079,0.21143,0.048807,0.030917,0.11096,0.068949,0.053508,0.011592,-0.014002,-0.09692,0.046227,-0.0040657,0.037144,0.01191,0.08543,-0.099348,-0.072913,0.027583,0.026917,0.012772,-0.043937,0.047217,0.047491,-0.053707,-0.087373,0.022717,-0.10699,-0.03692,0.026213,0.10035,0.010793,0.031448,-0.17842,-0.086967,0.014704,0.10331
"9",0.075839,0.0071715,0.04142,0.15096,-0.018887,0.099406,-0.11982,0.015182,0.1154,-0.042533,0.023014,-0.017362,0.038466,-0.094887,0.086842,-0.13862,0.12518,-0.006335,0.015598,0.16539,0.14749,0.033113,-0.070924,0.092213,0.0309,-0.030146,0.066931,-0.11375,-0.13425,-0.0094486,0.20672,0.18219,0.25362,0.10546,0.12994,-0.10075,-0.041956
"10",0.10914,-0.15213,0.052703,0.047774,0.010818,0.053024,-0.20901,-0.10188,0.088194,0.065095,0.002306,-0.071038,0.10697,0.13286,-0.027758,-0.12496,0.076686,-0.28526,0.059092,0.011505,0.026595,0.089216,-0.1735,0.025516,-0.0052443,-0.13631,0.035192,0.010085,0.049006,0.15855,-0.10942,-0.019993,-0.098614,-0.11581,0.070028,-0.050996,-0.04825
"13",-0.041886,-0.18923,0.050533,0.11638,0.055882,0.11202,0.10382,0.025487,0.1018,-0.019416,-0.059212,0.011326,0.025913,-0.033926,-0.041241,0.18108,-0.11974,-0.0072449,0.032603,0.061938,0.08746,-0.015369,0.15107,0.053035,-0.040443,0.013861,0.042238,0.040059,0.081309,0.14875,-0.053192,0.010409,0.00067639,0.030001,-0.067241,-0.074676,-0.011475
"14",-0.15405,-0.046543,-0.006768,0.075809,0.010867,0.067835,0.02754,-0.030734,-0.020292,0.01918,-0.10331,0.069246,0.046989,0.022197,-0.023096,0.067011,0.052351,-0.025159,0.051998,0.11157,0.076827,0.016498,-0.027144,-0.1706,0.18074,0.12071,-0.0049123,0.082937,0.054023,-0.056622,-0.054574,-0.01897,0.0065378,-0.011175,0.11228,-0.042313,0.016236
"15",-0.12718,-0.063267,0.042082,0.11281,0.076937,0.055654,0.0029797,-0.044404,0.053322,0.030496,-0.013045,-0.10122,-0.014359,-0.038199,0.075318,-0.011487,0.017786,-0.031072,0.026778,-0.066325,-0.020474,-0.073541,0.058459,-0.13856,0.087593,0.039721,-0.042965,0.0044198,0.017134,0.05253,0.0056771,0.027229,0.053964,-0.062757,0.065041,0.023946,-0.040484
"16",0.077601,0.20869,-0.1252,0.111,-0.027083,0.021141,-0.092813,-0.12444,-0.084134,0.16205,-0.18381,0.13898,0.098952,0.041925,0.026016,0.012053,0.025657,0.037452,-0.063614,-0.037046,-0.21108,-0.10556,0.048037,0.13149,0.1134,-0.084954,0.045961,0.028403,0.017988,0.034208,-0.19312,-0.11612,0.03015,-0.06441,0.01847,0.10339,0.2032
"17",0.069941,0.083332,0.0029919,0.15624,0.010503,0.043391,-0.10432,0.011787,0.11766,-0.026092,0.039404,-0.03727,0.044862,-0.020252,-0.046303,0.026101,0.078925,0.082081,0.039605,-0.036134,0.0423,0.02794,-0.0035747,0.015288,-0.054645,0.023153,-0.0046303,0.010102,0.029699,0.057211,0.13711,0.084877,-0.042013,-0.070827,-0.070043,0.075097,-0.22344
"18",-0.067713,0.093973,-0.07116,0.085042,0.052853,-0.044807,-0.042317,0.013209,-0.26228,-0.10177,0.013483,-0.13759,0.026005,-0.066228,-0.25195,-0.047323,0.098476,0.10617,-0.013694,0.02418,-0.14672,0.064613,-0.04198,0.010796,0.030879,-0.017356,0.16296,0.087886,-0.076315,-0.048758,-0.032116,-0.035988,-0.11148,-0.013716,0.07483,0.1266,0.044196
"19",-0.19392,-0.071124,-0.015107,0.038406,0.045918,0.0073597,-0.080499,0.01474,0.0093466,0.078722,-0.0063177,0.1534,-0.1108,-0.0038684,-0.099936,0.011323,0.020211,-0.071377,-0.071993,-0.049721,-0.038228,0.0030094,-0.053144,0.055517,-0.020746,0.12189,-0.095441,-0.051812,0.033694,0.018491,-0.039747,-0.12134,0.0080703,0.045845,0.0081235,-0.089992,0.27565
"20",-0.022881,-0.10635,-0.13236,0.067918,0.042693,-0.023629,-0.11796,-0.017972,0.058664,-0.011419,-0.02865,0.11822,-0.021218,0.068061,-0.092129,0.059819,-0.060436,-0.12978,0.10697,0.01157,0.06653,0.10284,-0.14042,0.046275,0.10882,-0.017765,0.10605,0.016171,0.0050575,-0.03091,-0.005128,-0.16465,0.015815,0.14969,-0.097182,0.12865,0.093566
"21",-0.020683,-0.12226,-0.08016,-0.013095,0.035086,-0.063142,-0.058387,0.071515,0.042185,0.028417,0.17304,0.13818,-0.061073,0.021723,-0.10995,-0.049291,-0.066866,0.099903,-0.011686,-0.24223,-0.1366,-0.041948,0.13918,0.069433,-0.077909,0.040929,-0.1307,0.012462,0.07361,0.0022825,-0.061695,0.083753,-0.021751,0.01053,-0.076842,-0.093376,-0.14468
"22",0.11805,-0.11671,0.023394,0.098201,0.074572,0.03203,0.047238,0.0048168,0.046081,-0.13978,-0.11598,0.081339,-0.0059778,0.046086,-0.13819,0.1161,0.023171,-0.16638,-0.032371,0.22289,0.098166,0.04103,-0.10162,-0.014788,-0.068357,-0.033322,0.019185,0.041768,0.0091649,-0.12189,0.04659,-0.13402,-0.044218,-0.043796,-0.14531,0.026336,0.12179
"23",0.083904,-0.039366,0.02176,0.11219,-0.012082,-0.037925,0.025061,-0.060015,0.16782,0.074846,-0.27223,-0.1542,-0.10105,0.18285,-0.083168,-0.053776,-0.11327,0.0013699,0.13655,-0.15182,-0.10919,-0.06181,0.23128,-0.0070272,0.030556,-0.06943,0.1088,-0.041689,-0.12184,-0.23658,0.0543,0.058796,0.063484,-0.033722,-0.068406,-0.06901,-0.033702
"24",-0.043088,0.097438,-0.036553,-0.087434,0.0098096,0.078167,-0.23431,-0.011982,0.068072,0.1602,-0.053155,-0.16461,0.0097199,0.1364,-0.097566,0.16067,0.15592,0.034792,-0.16595,0.049498,0.22928,-0.0069625,0.04594,0.063398,0.10455,-0.060143,-0.067813,-0.12055,-0.12181,-0.0091201,3.6112e-05,-0.1642,-0.050412,-0.096738,-0.057467,-0.054651,-0.18557
"25",0.021516,-0.090156,-0.18194,0.08039,0.062618,-0.038298,0.022838,-0.062195,0.20866,-0.2156,-0.01844,-0.10529,-0.046736,0.051485,-0.012004,0.024372,0.026473,0.086064,0.013242,-0.043501,-0.108,-0.0097093,-0.040349,-0.056828,-0.022017,0.032473,-0.054264,0.032494,-0.12886,0.047631,0.074582,-0.05225,-0.033468,-0.16357,-0.027191,-0.019665,0.032105
"26",0.027492,0.015046,0.03533,-0.019789,0.021981,-0.08271,0.027917,0.0018614,0.031472,-0.016733,-0.0862,0.046074,0.0045558,-0.083127,-0.10395,-0.033538,0.044841,0.031381,-0.060483,-0.085211,0.10403,-0.023119,-0.041848,-0.092484,-0.064211,-0.056751,-0.115,0.018708,-0.083465,-0.074394,0.057611,-0.041996,-0.051409,-0.054591,-0.011339,0.091441,0.052912
"27",0.049954,0.077826,0.064583,-0.051574,-0.064552,-0.0067119,-0.066521,-0.01514,-0.03944,0.11286,-0.050423,-0.047061,0.19823,0.090487,-0.060065,-0.029308,-0.07078,-0.0020319,0.13414,0.12146,0.019729,0.014468,0.0281,-0.06158,-0.055858,0.016267,0.0058709,-0.031762,0.092703,0.018631,-0.059134,-0.10541,-0.048452,0.058441,0.095492,-0.01207,-0.066047
"28",-0.02462,0.040598,-0.025649,0.14515,0.0035755,-0.01453,0.14728,0.005395,-0.27151,-0.078704,-0.045689,-0.024623,-0.051703,0.063271,-0.17335,-0.034147,0.0262,-0.038492,-0.033304,0.046178,-0.040394,0.046403,0.027968,0.0386,-0.054776,-0.0085106,0.081071,-0.10068,-0.078106,0.031284,0.063372,0.020239,-0.043133,-0.080827,-0.045052,-0.036382,-0.050326
"29",-0.060606,-0.05422,0.0045223,-0.045058,-0.031952,0.14212,-0.064389,-0.39402,0.027872,-0.024124,0.032047,0.039616,0.020371,-0.11778,-0.046241,0.12133,-0.096428,-0.00052528,-0.10475,-0.067932,-0.096625,0.018669,0.020204,0.011701,-0.028943,0.090777,0.029246,0.049449,-0.025602,-0.066418,-0.12026,-0.0052772,-0.0046819,0.072966,0.078208,0.048992,-0.017689
"30",-0.075848,0.11699,-0.0045494,-0.017851,-0.013547,0.077338,-0.20269,-0.016483,-0.054253,-0.074363,0.010138,-0.16255,-0.03194,0.0072051,-0.023728,0.15035,-0.21304,-0.21593,0.019369,0.11733,-0.075343,-0.098581,-0.10318,0.0087116,-0.13968,0.067441,-0.010134,0.017467,0.21898,-0.054086,0.11298,0.20114,-0.044932,-0.093164,0.061621,-0.14002,0.10745
"31",0.036391,0.075213,0.12466,0.14837,0.19789,-0.28816,-0.022098,0.0072948,0.017921,0.0007524,0.053716,0.045897,-0.056135,0.014747,0.097936,0.064394,-0.026307,-0.11746,-0.035437,0.021178,0.014653,0.097307,0.017269,0.048368,-0.0064262,-0.022723,-0.032989,-0.097393,-0.023099,0.040574,0.011418,-0.086878,0.022729,0.00037695,0.085593,-0.086028,-0.03069
"32",-0.12606,-0.056449,0.081082,0.072785,0.047491,0.050581,0.054884,0.013675,0.036759,0.0089023,-0.13095,0.055161,0.055109,-0.045419,-0.010681,0.138,0.0026287,0.068728,0.070326,-0.034601,0.0037445,0.051561,0.024946,-0.02345,0.02358,-0.0046524,-0.032049,-0.057848,0.0024659,-0.016181,0.022663,-0.0095734,-0.030796,0.0049065,0.019071,-0.070133,-0.055533
"33",-0.10486,0.096338,0.059727,-0.12559,0.044461,0.035467,-0.0011801,0.028288,0.028056,-0.12881,0.0010984,-0.014395,-0.059174,0.064699,-0.0097892,0.085763,0.0040091,-0.092186,0.093333,-0.060629,-0.109,-0.10787,-0.083387,-0.091216,0.097966,-0.029572,0.12046,-0.097697,0.20156,-0.079089,0.070134,-0.14262,-0.0065499,-0.054105,-0.026284,0.091916,-0.044237
"34",0.046814,0.080659,0.12614,0.14137,0.20092,-0.31103,-0.021828,0.01035,0.01404,0.019481,0.041951,0.029875,-0.053653,0.042362,0.08468,0.099521,-0.084205,-0.10567,-0.021803,-0.0050026,0.0020803,0.017613,0.017226,0.060264,-0.072268,-0.022738,0.024194,-0.12843,0.042151,-0.0098128,0.0074177,-0.11466,-0.12913,-0.0081123,-0.11662,0.0098613,-0.10514
"35",0.0041652,-0.13744,-0.15292,0.015716,-0.063649,-0.14907,-0.060471,-0.061381,0.065953,0.078823,-0.10705,0.19664,0.042565,-0.089633,0.08634,-0.076135,-0.13568,0.028136,-0.082932,0.10876,-0.020385,-0.17499,-0.2442,-0.18817,-0.033642,-0.075831,-0.09089,0.041403,-0.098431,-0.078744,0.054876,0.011071,-0.090859,0.1779,-0.12752,0.10818,-0.025854
