"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37"
"Cortx27",-1.3389,-2.234,0.36201,-0.51439,0.18635,-0.31927,0.55317,-0.50003,1.0989,-0.23405,0.90842,-0.36978,0.076218,0.015476,-0.49528,0.15479,0.031638,0.021273,0.045992,0.34197,-0.17649,-0.31903,0.039488,0.064443,0.15468,0.075239,0.097105,-0.045002,-0.066728,-0.1018,-0.01556,-0.11097,0.16343,0.021635,0.0094316,0.0071966,3.0965e-16
"Cortx18",-0.21586,-1.0964,-0.64982,0.84933,-0.10276,-0.24054,-0.36944,-0.35286,0.26483,-0.010758,0.13456,-0.21988,-0.27772,-0.057863,0.12818,0.20264,0.10064,0.14318,0.043473,-0.22445,-0.15248,-0.15306,0.047515,-0.12367,-0.37693,-0.11429,0.035092,-0.3548,-0.0070734,-0.13496,0.26692,0.15805,-0.10159,-0.12411,-0.064204,0.063254,-3.6863e-17
"Cortx25",1.1021,-2.0064,0.6292,-1.2152,0.069667,-1.0149,-0.23102,0.3426,-0.51122,-0.69621,-0.19355,0.21424,0.13427,0.76355,-0.14471,0.16068,0.29568,0.35187,-0.026074,0.099857,-0.20345,-0.049722,0.28301,0.03813,0.12081,-0.11949,-0.17532,0.13563,0.12154,0.06238,0.045309,0.15612,-0.095444,0.011691,0.0162,-0.034297,-3.8565e-16
"Cortx20",0.93718,-0.59731,-1.5787,0.5986,-1.8627,0.50196,-0.07687,-0.48143,-0.1875,-0.33649,0.14683,-0.14075,0.58329,0.086459,-0.21652,-0.305,0.24018,-0.25071,0.35942,-0.0018961,0.05824,0.11226,-0.079172,0.20927,0.042871,0.18078,0.11878,0.14777,-0.054643,-0.099434,0.025327,0.067062,-0.22149,0.060305,-0.085223,0.040734,2.459e-16
"Cortx17",-0.0062018,-0.4155,-1.4322,0.72191,-1.1792,0.54617,1.0201,-0.51897,-0.3776,-0.17195,-0.27356,-0.026505,-0.010304,0.057722,0.022418,-0.35708,0.014733,0.092175,-0.25682,-0.18754,-0.36357,-0.038029,0.10681,-0.18977,-0.090705,-0.35283,-0.010476,-0.029586,-0.06751,-0.037145,-0.21699,-0.052822,0.11778,0.1467,0.064416,0.017367,5.1174e-17
"Cortx19",0.87344,1.5202,-1.6649,0.89548,-0.83698,-1.2531,-0.217,-0.19422,0.49536,-0.14235,-0.26779,0.072748,-0.62856,0.082767,-0.35095,0.31505,-0.29986,0.13407,-0.07752,0.37856,0.06022,0.23634,-0.045059,0.054822,-0.32923,0.1487,-0.058518,0.11625,0.15244,-0.0069478,-0.03092,0.011242,0.069369,0.088448,-0.0035056,-0.058208,1.7868e-16
"Cortx26",-2.0838,0.22618,0.13009,1.6197,0.1145,-0.75623,-0.27201,0.18527,-0.58463,0.66465,0.74502,-0.10331,-0.083403,0.19406,-0.014998,0.014432,0.1287,-0.10336,-0.32187,0.13108,0.33773,-0.10341,-0.18485,0.19497,0.057933,-0.32277,0.026612,0.080266,-0.070941,0.1395,-0.056872,0.16098,0.02751,0.023187,-0.12086,0.029995,4.1959e-16
"Cortx28",-0.81465,-2.1023,1.0255,-0.82256,0.0028694,-0.57901,0.89052,0.5384,-0.81901,-0.28482,0.12639,-0.53929,-0.25328,0.29249,0.15202,-0.15995,-0.24098,-0.16676,0.060517,-0.0067659,0.3935,0.14346,-0.18385,-0.17496,-0.21707,-0.026876,-0.079791,0.08251,-0.065576,-0.22334,0.043709,-0.17875,-0.05558,0.00041708,0.05845,-0.035385,-5.6379e-18
"Cortx31",-0.54395,-1.0605,1.1598,0.33923,0.63603,1.1633,-0.53209,-0.037354,0.70426,-0.79489,0.13852,0.15833,-0.19158,-0.21329,-0.3827,-0.18666,0.21572,0.12882,0.22785,-0.15898,0.18688,0.32888,-0.058126,0.13592,-0.21043,-0.083197,-0.29814,-0.064835,-0.13183,0.2157,-0.089049,-0.025329,0.0044665,0.007919,0.037095,0.051005,1.7391e-16
"Cortx32",0.034913,0.70005,0.38032,1.1217,-0.38297,0.26137,-1.0049,-0.20708,0.34748,0.29411,-0.46408,-0.51549,0.56616,0.33332,0.37879,-0.067492,0.1766,0.048059,-0.28498,0.19553,0.24288,0.112,0.37808,0.10926,0.053642,0.075528,-0.19256,-0.050735,-0.038097,-0.14124,0.020824,-0.11133,0.14226,-0.09691,0.041213,0.05929,3.3101e-16
