"Variable","(Intercept)_Estimate","FCNOFC_Estimate","ISI_Estimate","FCNOFC_ISI_Estimate","(Intercept)t_P_Value","FCNOFC_P_Value","ISI_P_Value","FCNOFC_ISI_P_Value"
"X1",3.659491835125,0.0750223092499998,0.0751839238749997,-0.203751216625,3.75622741483521e-34,0.273412921261583,0.272403029214743,0.0407328731473857
"X2",3.584834643625,0.042952058125,-0.017290403,-0.0745086042500004,2.1425766963803e-35,0.475339654368611,0.772992668148161,0.382357317797914
"X3",3.736009465625,-0.00847183100000003,-0.00873198224999997,-0.00275073025000116,6.11768719859871e-44,0.783906915988292,0.77745259580192,0.949765058073031
"X4",3.709382944375,0.040145168875,-0.013051851875,0.0442836842500001,6.41938571857032e-36,0.50058195960011,0.826029077854009,0.598726186049201
"X5",3.6262445845,-0.0282089332500001,0.0331195459999998,-0.0207278217500012,2.85842517585811e-43,0.376367633019184,0.300269170765883,0.644075523770453
"X6",3.697411190375,-0.0332351261249999,0.01550139925,-0.00390841225000112,7.05401327455478e-41,0.400907990422486,0.6937623035955,0.943958016454147
"X7",3.862317913875,0.02213701025,-0.0306517954999999,0.0298411253749998,6.12080250016833e-37,0.697187144546126,0.59049651579867,0.710672130160036
"X8",3.671056367375,0.245643790125,0.0240008858749999,-0.264544434750002,3.50451602371341e-34,0.00104959790080856,0.723645644839926,0.00952080656819686
"X9",3.77510699425,0.0140036311249999,-0.012054835875,-0.0218656943750008,1.24781110023405e-44,0.635366896401284,0.682971159717356,0.60075465146178
"X10",3.879510674,-0.0521484452499998,-0.00018438174999994,0.0543570234999986,1.11443822820286e-35,0.413007677682853,0.997676531484685,0.545158155520253
"X13",3.990063089875,-0.05162035925,-0.0632213512499999,0.126742742749999,8.81239722555496e-36,0.426726382973264,0.331707596276713,0.172412762285712
"X14",3.935033367625,0.0617387675,-0.00952576537499995,-0.020936365500001,5.44289175165323e-37,0.289033732528756,0.868765912596767,0.797416009567007
"X15",4.01850186775,0.069677953375,-0.000431684500000086,-0.0481473106250016,5.01832427100871e-38,0.203927578213248,0.99362700788984,0.530205947389536
"X16",3.862248052,-0.0348473432500002,0.0766649188749998,-0.152447852875,2.38795203599297e-30,0.722352321372785,0.436387551368149,0.276329525197666
"X17",3.93811824725,0.0170593458749999,0.000885241249999908,-0.0544539655000011,1.89010929094776e-41,0.669845359259225,0.982319507362008,0.339093970200983
"X18",4.13109277075,0.00712270049999999,-0.037592196375,0.0199939307499993,7.36422903295252e-40,0.881492034941815,0.433862440328718,0.767436255152468
"X19",4.079540078375,0.061727152625,-0.0456170092499999,0.0126717549999998,1.69275394570774e-32,0.477984758962305,0.599272468192761,0.917598504432889
"X20",4.133549318625,-0.0630999518749998,-0.0180842861249999,0.0856185894999989,2.38910187495927e-46,0.0309303105694743,0.520168001888623,0.0377941470411112
"X21",4.12666868975,-0.0666622753750001,-0.0325713145,0.104805113124999,6.21608838240871e-47,0.0175818064046366,0.227864225743754,0.00904162485117863
"X22",4.2295635225,-0.0923080325000001,-0.032256758625,0.114352699,3.20619659217725e-39,0.0815700987518891,0.532938041707527,0.124740974272941
"X23",4.11827201175,-0.0113288054999999,0.0455086807500001,-0.00557861187500086,7.95917441014478e-45,0.720598819738187,0.157807192332679,0.900790217817086
"X25",4.284689423125,-0.0642143047499999,-0.00988611112499993,0.1042948795,2.50354853615514e-44,0.0692469730731827,0.773295418372841,0.0386621085996105
"X26",4.22073624075,0.0082441445,0.0138350142499999,-0.0217731384999999,1.16911545308187e-52,0.628884606093995,0.419108993378909,0.369253813947929
"X27",4.147783930625,0.0280545290000001,0.0245254425,-0.0646211386249999,2.02244989637543e-46,0.31977737147505,0.383433751750575,0.110162819951577
"X28",4.348899971625,-0.0121326230000001,-0.00821163475000002,0.0521036268749997,3.87464031315744e-42,0.771163772936978,0.843876320724778,0.380084975403021
"X29",4.405086532875,0.102358559,0.0833179488749999,-0.106635249250001,1.2394474749035e-38,0.0775011681450965,0.146936902482882,0.187809039294887
"X30",4.42688683,0.076541065625,-0.0131858905,-0.0747255657500007,1.08506732804007e-43,0.0479576210176008,0.72427504666638,0.164396966960098
"X31",4.613462188625,0.0406327182499999,0.0431157784999999,-0.115434297875001,8.05784064746092e-37,0.554504585363127,0.530729869155319,0.239539504376491
"X32",4.525120420375,0.0742151787500001,-0.020716058,-0.0426712230000002,4.00515922743361e-39,0.188805328390848,0.709769760386406,0.588299078126133
"X33",4.62158349125,0.136256504125,0.0217340563750001,-0.162344491125,3.17768513286116e-41,0.00756644909046064,0.649654790368602,0.0219976863282558
"X34",4.764700893375,0.0313934552500002,0.0475251326250002,-0.108315294250001,2.39044556371218e-36,0.670183721686484,0.519974447095451,0.302652108381535
