"Variable","(Intercept)_Estimate","FCNOFC_Estimate","ISI_Estimate","FCNOFC_ISI_Estimate","(Intercept)t_P_Value","FCNOFC_P_Value","ISI_P_Value","FCNOFC_ISI_P_Value"
"X1",3.648917189375,0.0717404055000001,0.03356197775,-0.165413317750001,7.73465705054971e-35,0.266457480966457,0.599974868204124,0.0750904846707111
"X2",3.61587304125,0.108037493875,0.0098310841250001,-0.0250896403750007,7.50411487070961e-37,0.051460728412417,0.854452353997764,0.74079008436179
"X3",3.743622790875,-0.029771345,0.000897412874999977,0.0405793618749989,4.1689354704273e-43,0.372336741357791,0.97839106616894,0.389647299801952
"X4",3.895198019875,-0.21845562025,-0.056121495125,0.171427904875,5.45915595959021e-33,0.0096923785653543,0.481604989015001,0.134659674838269
"X5",3.682483454,0.045386701125,0.0406248252499999,-0.0229266818750005,1.81244243754971e-42,0.193213326387246,0.242757187788044,0.637624819272036
"X6",3.590849741,0.0158671125,-0.00612499374999995,-0.000522246375000939,9.49610393342262e-42,0.655824747946469,0.863196723891554,0.991709043374693
"X7",3.939408985375,-0.180956407625,0.0185618595000001,0.0522949833749994,4.36954294727015e-34,0.0189963335568189,0.800296348155136,0.614908344743886
"X8",3.668603960125,-0.107252841375,-0.00627533337499983,-0.0989865365000002,6.96713502026756e-29,0.311932986530921,0.952383410773569,0.507069694363582
"X9",3.786413129125,0.0565399472500001,-0.00898313674999999,-0.0390820021250011,1.27537010493202e-52,0.000875789250743868,0.558796699150372,0.0794221299686038
"X10",3.840500877875,-0.0353087252500001,-0.0451185105,0.0331994029999997,5.33710431043189e-38,0.496984773230921,0.386663543891077,0.650796010909697
"X13",3.97983017025,-0.1772587565,-0.027765676,0.0834541037499992,1.11908300843349e-32,0.0404496803227847,0.738949036738753,0.48033179038365
"X14",4.011804448625,-0.127690176875,-0.0025018747499997,0.0295180484999992,1.43702296743319e-35,0.0612764625081886,0.969796613379399,0.752304507734386
"X15",4.05278324625,-0.129745609375,0.0117523352499999,0.0248297906249993,1.27440129577291e-34,0.0804780351914721,0.8706972638493,0.807926792223156
"X16",4.0909459155,0.00979131199999976,0.0415311263749999,0.00989996999999834,1.12585339269572e-29,0.928900994711005,0.705424644023369,0.94913274596102
"X17",4.0200169035,0.0936154782500001,0.0065829385000001,-0.0424919706250007,3.12339043991625e-42,0.0198497552796547,0.863336245830506,0.434502869748487
"X18",4.247666159875,-0.13945766975,-0.00934597137499981,0.091299020999999,6.47912631327157e-35,0.067024219305208,0.899296550895596,0.385221158171669
"X19",4.183590834,-0.3053607555,-0.0707125848749998,0.242291464749999,3.50155045283118e-33,0.00100687252583652,0.402444018404634,0.0488203339548616
"X20",4.1600451245,-0.0761472830000001,-0.0226456246250002,0.0659273866249992,1.64361595380245e-45,0.0167838043119225,0.455727330638965,0.130677936324078
"X21",4.140886510125,-0.091479828,-0.0252343148750001,0.106873922874999,4.41239729519641e-46,0.00325814757219391,0.382363933007886,0.0128461780846529
"X22",4.1343572785,-0.00272170549999986,-0.0459078472500001,-0.00629629087500096,7.36287993746119e-41,0.950707738114899,0.301753695553062,0.919458599536728
"X23",4.14656255475,0.013600659125,0.0213488283749998,-0.0224230170000002,4.703953055724e-50,0.513170768576606,0.30739110703132,0.446498297330705
"X25",4.286993603875,0.0217837483749998,0.0138067656249998,0.00983998787499986,4.42812518681829e-46,0.465491769570667,0.642710938431758,0.814885008325337
"X26",4.082930750625,0.0203932802499999,0.0113216537499997,-0.0329658033750009,6.06810464178605e-48,0.403716623605096,0.641507005225244,0.340784905899367
"X27",4.054178753,0.034046057,-0.00912025125000021,0.026171596,4.12851467121936e-42,0.385266895525006,0.814935590338489,0.635348873961824
"X28",4.454144554625,-0.12894945375,-0.00663246374999989,0.0299794678749991,4.74226432243266e-36,0.075582359297536,0.925057159289135,0.763848957926681
"X29",4.256281487375,0.024212666,0.0769183838749999,-0.159693078625001,3.75864281304997e-39,0.643228377380102,0.148048737498979,0.037516344932006
"X30",4.5263796675,-0.00461033437499991,-0.0154094747499999,-0.019967068000001,1.22889177054941e-50,0.830722114105707,0.476751261004301,0.514130101670136
"X31",4.40897369325,0.165265779125,0.0419900586249998,-0.0686502290000014,8.67557586413586e-35,0.0400873015835873,0.588709320438992,0.532275552463717
"X32",4.523700199625,-0.14996270275,0.026323412375,0.0155328944999988,5.57566553104952e-35,0.0632218306418116,0.736722693963102,0.888346848844874
"X33",4.5470949195,-0.0595071888750001,-0.0193067141250001,-0.0508949547500002,5.00518224927007e-40,0.256726535986911,0.71001490656591,0.489578052059629
"X34",4.558620531625,0.1682725705,0.0402723714999998,-0.0641413553750015,2.67375386638049e-34,0.0512846475251921,0.629818409356121,0.587471509969109
"X35",4.799980491,-0.0774705685,0.00118133699999981,0.0917313932499992,2.21131845748515e-46,0.0228047902636343,0.970953483426994,0.0533472588994128
"X36",4.726982989875,-0.028069095625,-0.0060762904999999,0.0419510277499991,3.57061811807675e-53,0.132399992860156,0.739739346905701,0.112625030237809
"X37",4.85969595975,-0.1831784875,-0.00828782149999996,0.0776610136250001,5.3396719887944e-36,0.0236865970192459,0.914571713460949,0.47916798679572
"X38",3.77238185875,-0.0814428492499999,-0.0040224791249999,0.0527037693749997,5.58892705373782e-39,0.0907169398423806,0.931658769853125,0.429476509024073
"X39",4.161628274125,-0.0176386015000002,0.0764483966249998,-0.121734051125,1.20375602438566e-37,0.760239916179553,0.192429155503778,0.143810155989713
"X40",3.6243493185,0.01501001025,0.017342297,-0.0715916443750007,3.22950984417561e-36,0.790933617265209,0.759433516805697,0.374403497551006
"X42",3.928971940125,-0.228344591625,-0.0166312887499999,0.109521069125,9.34757995777365e-30,0.0361493253573748,0.873790927311269,0.461611463547589
"X43",3.802776020125,-0.05811962625,0.0233259198750001,0.0209956793749993,3.46966467094955e-37,0.293807651048962,0.670924749424806,0.786633394832431
"X44",4.786008729625,0.0491810414999998,0.00622243074999993,0.0132573558749996,3.04542356997665e-40,0.36265208475835,0.907627903205334,0.861253379906241
"X45",3.709204609375,-0.0271684412499998,-0.0504881577499999,0.0113246421249996,3.93402797031467e-42,0.447370237514197,0.163178199585017,0.821962392640562
"X46",4.0020366835,-0.06144965125,0.0188959511250001,0.0228574363749991,1.76245505365334e-36,0.31922874357736,0.757478416395081,0.791635137939715
"X47",4.40072881475,0.0269885817500003,-0.0136375798749997,-0.036092176875001,4.76038400490543e-45,0.418930294397839,0.681634232776743,0.444389286116913
"X48",4.84205476575,-0.0737580486249999,-0.0201492734999999,0.0884624136249984,1.1120604537286e-41,0.133759546321688,0.676352042496041,0.200966288086247
"X50",3.784060674625,-0.036540388125,-0.01025364525,0.0361222524999993,2.65967750705497e-48,0.10248996163531,0.639374950123368,0.247909289427329
"X51",3.699691810375,-0.010959244,0.0209713292500001,0.04456657075,4.726925738594e-50,0.554605455997758,0.262131785050503,0.0965187627400258
"X54",5.279081543625,-0.00243490987499995,0.0128488097499999,0.00680700087499855,1.86259693629199e-49,0.929974950360184,0.643473018586119,0.862119530418268
"X55",3.97112987275,-0.00547818624999988,0.0168960452499999,-0.159449095,2.92021256475049e-36,0.929341824143552,0.784604858125173,0.0761671998287164
"X56",3.729490971,0.0393951915000002,0.022488535375,-0.113525110750001,3.69853424791115e-42,0.274816937589177,0.53004943158215,0.0311247196408413
"X57",4.07304400925,-0.119880631125,-0.028471351125,0.11599881625,2.53833151106762e-38,0.0316088897799967,0.595261653054113,0.132828175549691
"X58",3.963987953125,-0.059430238375,-0.019186014,0.00854794837499846,4.49802850030452e-49,0.00931384339187388,0.374945765494645,0.778464952409916
"X59",4.458679141625,-0.063891704625,0.0112247181250002,-0.0165975098750013,5.36173522123721e-39,0.253998381203807,0.83936064556204,0.832152861639096
"X60",3.59087819875,-0.0602749902500001,0.0026030958749999,-0.0603734523750005,6.39694434769298e-35,0.338063650343505,0.966722803403212,0.495669221109357
"X62",3.881060419875,-0.118327050625,-0.023814241625,0.10257722825,2.26891698121571e-45,0.000253420226194737,0.406458358476764,0.0158872815338023
"X63",4.16388136425,0.126136700375,0.0621678552499998,-0.0845954603750012,1.29246829360879e-27,0.345212993303035,0.639734863364736,0.652390667481425
"X64",4.200967911,0.0645973811250001,0.023218605875,-0.257887001375001,2.10381762917373e-36,0.321557387709346,0.71954173857091,0.00813877284870405
"X65",4.973019129375,-0.0480698155,-0.040228318,0.0413285656249986,3.47588341573493e-42,0.315753499955811,0.399872176907844,0.539605603635289
"X66",4.013258406625,-0.046906067875,-0.0403845219999998,0.0971161543749998,5.61295555497709e-48,0.0564961854250338,0.0977889879417318,0.00696426587355335
"X67",3.791364411625,0.00251247874999996,0.013689073125,-0.0942325887500011,1.63148588217342e-37,0.962325273459229,0.797014980541753,0.216658376317125
"X68",4.205812808,-0.00389658312499986,-0.010629056125,-0.0202321280000008,6.29144518972939e-53,0.814402179542203,0.523274175049862,0.391671987652461
"X69",4.983779941125,-0.00690071662499992,-0.0149608491250001,-0.0471131269999999,2.82339022067118e-48,0.810889204040952,0.60461931781024,0.253406894092157
"X70",4.06311410675,-0.045973348375,-0.00989695125000011,-0.0387187687500003,9.20747540992087e-41,0.296629928397397,0.82057067901996,0.531640228628808
"X71",4.3149659235,-0.162847573375,-0.027235277125,0.0617887713749989,1.1790917602997e-33,0.0583312642184148,0.743761731587451,0.600567746851569
"X72",4.652349283375,-0.109494436375,0.0181292611250001,-0.0121478687500017,9.87696290948289e-38,0.0958524892379838,0.777483988288471,0.893423295795426
"X73",4.87505611075,-0.0984908273750001,0.00662709962499998,0.0275804413749987,2.81314397119572e-38,0.133000769972844,0.917818059150143,0.76156746263602
"X74",4.379461391625,-0.0640427979999997,-0.00906253487499994,0.00676835862499984,1.6468369299586e-38,0.263246032991955,0.872812444031129,0.932613858485048
"X75",3.409667515125,-0.0244313624999999,0.00196162325000005,0.0435540123749992,1.96231961153244e-37,0.612711038764414,0.967504809894614,0.523968382918017
"X76",4.453306434375,-0.02242952375,-0.00550255187499983,-0.00712690087500061,1.25533929235554e-53,0.183242757690108,0.740289942919699,0.761415123575331
"X77",4.6973932125,-0.109338670375,-0.00734124174999996,0.0105005629999987,1.44464110556486e-38,0.0785603402121763,0.903307682479606,0.90221004805116
"X78",3.731722819,0.0410036546249999,0.0180234067499999,-0.133481297500001,2.08624139375853e-36,0.476698958126403,0.75355293841201,0.107999625879096
"X79",3.700401333125,0.0507669225,0.0494098551250001,-0.0102473715000004,3.83856154415619e-38,0.307622204922199,0.320495347298286,0.883153684557011
"X80",4.23703174375,-0.0594172713750001,-0.0175886340000002,0.017157597624999,2.33709516402243e-41,0.177182367542265,0.685073094210519,0.779509616289663
"X81",5.08393367375,0.000747982875000018,0.0193768697499999,-0.0577662922500009,1.38104877886366e-46,0.982338761610323,0.567476714943102,0.232742648488292
"X82",4.2409525195,-0.0995878686250001,0.0282606133749998,-0.00391529000000052,1.40202866806102e-35,0.161011190033828,0.685955433662225,0.968356214185592
"X84",4.4896057895,-0.101056318375,0.0471850001249998,0.0288129399999995,1.67041516962892e-39,0.0667836047694373,0.380749431532691,0.703487103121509
"X85",5.133270034625,-0.000162826249999945,0.0213303725,-0.0476606776250005,9.9678553878711e-50,0.995068876571826,0.42089197343289,0.207383282357259
"X86",4.014359503125,0.0710349293749999,9.83499999998768e-05,-0.217974768,2.96647173297451e-40,0.121922121436005,0.998253588211389,0.00174450859780101
"X87",4.187610516875,-0.0515658392500001,-0.066138929,0.0761632799999991,4.53134333498804e-38,0.361755135097625,0.244342307560101,0.341158270990141
"X88",4.556279179125,0.11094667475,0.0304381171250002,-0.00322728600000151,1.2307364532292e-38,0.0649617060929096,0.602320074139986,0.96876146176505
"X89",4.1751670345,-0.0520876499999998,-0.0223434,0.0371138704999998,3.82391620828075e-46,0.0784951943983986,0.439979951088876,0.365369308833873
"X90",4.905066297625,0.00871793749999984,0.0229928618750001,-0.0404208265000008,1.64396532134684e-46,0.790554228756686,0.485282137149212,0.386822975284187
"X91",3.5654377435,-0.155087355625,-0.02936571,0.0864226451249993,4.16113275885817e-33,0.0382860642349116,0.683685685795575,0.398844862662541
"X92",5.7413278,-0.0072947472500001,-0.0068388640000002,0.00522569387500086,8.55283390697735e-58,0.631483582037818,0.652870494459114,0.807744924518264
"X93",4.602228502,0.0281041107500001,0.0268594679999999,-0.179469036875,3.86960603064225e-39,0.619500814834717,0.63503035942134,0.0312804166816409
"X94",4.179361363625,0.0693035078750002,-0.416711210625,0.387087223874999,1.25132597732867e-22,0.7320857499927,0.0468771876929154,0.182909332689827
"X95",4.596399535875,-0.195267768875,-0.032407321375,0.127734593625,4.93773782375216e-36,0.0115171289978542,0.657048531787753,0.221368653135893
"X96",3.69193953375,-0.0969154575000001,-0.00933841900000008,-0.0555759671250007,9.81548523760899e-32,0.251336281858513,0.910942551557311,0.638497397775843
"X97",4.047889600875,0.0977323683749999,-0.357890501375,0.291515489999999,8.17761924603868e-24,0.582276749460632,0.0511030774739821,0.250368902461785
"X98",3.725572409375,0.242072320625,0.0610248526249999,-0.147773730999999,1.60318389741595e-32,0.00444142637488603,0.441888060854641,0.192397684739911
"X99",4.24908094975,-0.0204182967499999,-0.0396138093749999,0.0346039674999988,4.85567576496578e-44,0.558861968601269,0.260771723815162,0.484209619907939
"X100",4.82929068725,0.150646897375,0.0472825325,-0.137791958875,3.49999423016717e-43,0.00128410049593072,0.270889317933284,0.0281896397856193
"X101",4.47240738825,0.113861338,0.0429315944999997,-0.0484391468750016,1.39657913018196e-41,0.016154129621048,0.342692290248983,0.447701352590385
"X102",3.89060268,0.107335196625,0.133820028875,-0.172798897500001,2.59894357699852e-37,0.0610857211256162,0.0216231063871729,0.0345866513939205
