,Cortx27,Cortx18,Cortx25,Cortx20,Cortx17,Cortx19,Cortx26,Cortx28,Cortx31,Cortx32,Cortx24,Cortx29,Cortx21,Cortx23,Cortx22,Cortx30,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3,Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,QCCortx 1,QCCortx 2,QCCortx 3,QCCortx 4,QCCortx 5,QC HIP1,QC HIP 2,QC HIP3,QC HIP 4,QC HIP 5,QC Mix 1,QC Mix 2,QC Mix 3,QC Mix 4,QC Mix 5
,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,QCCortx,QCCortx,QCCortx,QCCortx,QCCortx,QCHip,QCHip,QCHip,QCHip,QCHip,QCMix,QCMix,QCMix,QCMix,QCMix
1,1846.198988,4109.06056,5294.383361,4841.654773,4933.302299,6142.681556,3412.317703,3501.058216,4887.849909,5730.636769,8642.08059,6162.073868,2745.937263,5950.680542,5306.360167,5812.904803,3957.950923,5631.123915,5341.580702,6401.290073,4186.427909,5436.866866,5548.125629,7835.463009,4922.695384,2418.298236,4017.598539,5044.272829,4512.090665,4589.128899,6880.569336,5491.920977,3094.934626,3555.294589,4075.68527,4509.472898,4517.268834,3383.403466,3822.684648,4345.085413,5868.654421,3488.853412,7283.145166,6962.26477,4989.071586,4459.430345,6821.971841,3696.246604,2640.337871,6855.179952,4547.035934,4538.566049,5932.463073,5235.400698,7180.74228,3460.617453,2606.07547,2579.827181,6099.98887,4501.530743,5707.484367,5507.158885,4969.593261,5387.377907,4021.903306,4693.616803,4295.323806,4409.842745,4835.490128,4085.672859,4585.834885,4094.356384,3598.539479,3749.083904,3976.146077,4584.499485,4127.640308,4024.648817,4210.316369
2,3211.461993,3810.48176,2160.399644,4805.943098,3150.524296,5783.539623,4451.503133,1882.881041,4864.111917,5403.365501,4260.31102,3249.835567,2441.650229,4950.763236,4873.033187,4910.978295,2688.162414,3140.619961,3722.598121,3577.80408,3817.462594,3765.894097,4634.606238,4631.957416,3796.796664,3562.079209,3490.210248,2835.241236,4060.620003,3369.431146,5273.394458,4941.688949,3973.151058,3477.479573,4854.638922,9182.605922,4261.386142,6011.778276,6367.806379,4646.752852,4603.687541,5576.279773,4545.654343,4576.816302,4803.557132,5682.499511,7872.397442,5388.459231,2303.901914,5466.178697,3742.25005,4529.177159,4396.737253,3420.286031,5678.192228,5558.146905,3565.34165,3515.52125,4760.914679,3991.006728,3932.635996,4783.951466,4414.653056,4273.202493,2636.280642,4074.670904,3682.730573,3127.720384,2946.477568,4406.220264,5627.020661,5888.061355,5552.411171,5021.035862,4116.4784,4355.139858,4839.402188,4319.335204,4632.260339
3,5258.208296,6288.452223,4470.794818,4831.296546,4923.169207,4742.305949,6225.981049,5154.271001,5263.461819,6782.03309,5580.434982,5359.743553,4538.292374,4464.4689,5353.400924,5709.072709,5672.633781,5897.913193,5714.366527,5983.073761,5221.721673,4627.269369,5659.968378,4206.217968,5725.372177,5922.141191,5185.38539,6431.354306,7177.831144,4720.893677,4346.057261,4640.842747,5754.754559,8193.00385,5909.167057,5647.884202,5598.217806,5425.698498,4143.455749,5570.261489,5494.579596,5844.871011,5483.854066,5341.25308,6001.430894,4025.29694,4209.834768,5371.002098,5459.955575,5493.672219,7008.602461,5882.898163,5577.475297,5078.187307,5176.209054,4985.730812,6117.18781,6384.583372,4951.575652,6605.637964,4924.689337,4319.4246,5223.407852,6264.423009,5197.369544,4707.268753,4564.886842,4393.60225,4213.005392,5383.614648,4859.838867,4355.627252,4204.625119,4193.78221,4745.990918,4605.957133,4374.113194,4263.724739,4358.745155
4,5394.34669,5662.940484,4626.09762,5582.216507,5773.934033,5971.130115,9780.233865,6625.209864,4586.416734,4956.763928,5195.920324,3812.102622,12234.42467,5368.368772,5530.993376,6060.340745,7802.308554,4571.318783,5496.669251,4470.81972,5837.980341,5170.544949,5323.38781,2641.862894,7139.610717,5627.187602,4914.283975,4322.459685,5514.149234,5379.328556,3995.718339,4678.481954,7986.581613,6967.225018,6900.125688,1965.585588,8448.211405,10885.00487,4033.827201,7750.148635,5526.755301,6554.791318,5633.610435,5464.468952,4099.384023,4356.950399,2158.75664,6032.12574,6001.834874,10889.45684,6634.392763,7372.867755,6558.503245,6517.616858,4858.766343,7770.782003,9189.209038,7557.844139,5839.455211,8097.641013,10104.73287,6143.646482,10684.13534,6660.192835,5922.000999,3709.280166,4377.967064,5246.460453,6461.711663,5906.307098,4573.25573,4502.581425,4571.078395,5330.449575,4841.234544,4815.787818,4887.202737,4900.994708,5063.886745
5,3261.6509,4090.184093,3741.177515,4654.661509,4835.25714,4655.17871,3871.128069,3777.015395,3831.19126,4513.42495,3646.659279,4494.771525,2525.76605,4581.995935,3779.14331,4909.091572,4321.949267,3950.965144,4533.634563,4915.490268,4162.513232,4807.208654,4730.531126,5228.273586,3593.002205,3723.559586,4066.209901,4303.427418,4606.15436,4194.052868,4605.511244,4912.31659,4062.891517,4852.393201,5741.006748,6823.773091,5789.616077,5543.966975,6947.618234,5351.015162,5066.735005,5232.044011,4847.263604,5483.693699,5144.652444,6103.873149,5883.551662,5109.644774,4417.289438,4868.739579,4785.741346,5159.491653,6067.707477,4935.773083,6295.872019,6085.57989,3404.264959,4370.774408,5003.990483,5099.781171,4123.818722,6997.643874,5292.768929,4971.455014,3461.695631,4269.773982,4679.40462,4024.012096,3603.306834,4836.779503,5458.733144,5557.115951,5588.760553,5477.486017,4219.986588,5102.883025,5296.35941,5404.7511,4634.023768
6,4628.72223,4098.923224,6502.368476,4905.222468,4164.518043,4728.413633,4098.077317,5217.120234,4085.75936,5070.533799,5419.768769,6011.703976,2755.298812,5174.467233,5086.333983,4204.016969,3840.337691,6111.914745,4107.949315,5976.713577,5150.591056,5480.694227,5280.840025,5878.558237,4251.316977,4552.627411,4413.39179,5030.358916,5308.296783,6059.567622,5596.68545,4906.871924,3973.586972,3696.012856,4776.298166,4805.734353,4006.666969,2915.901143,3501.017877,4581.831582,3276.562239,3468.499282,3734.408672,3835.13576,4487.617884,3812.134751,5592.619204,4585.353489,3226.843557,2699.275334,4318.397022,4512.659281,4009.195281,3934.651591,4857.181996,3661.591324,3525.334712,3341.04009,4013.819224,4033.984732,3702.431223,4005.646225,4291.987499,4391.427943,4165.104116,6001.095582,6407.55117,5783.907444,5960.430899,3989.908346,4826.049352,5382.330274,5212.963349,4947.444051,4656.877475,5473.02453,5531.326423,5657.926381,5551.277828
7,8629.354165,8048.41469,5706.082732,7101.581583,8092.391262,5745.815717,10395.95773,8619.442365,8536.175403,7329.706899,7695.919668,5507.568327,12164.43586,6139.295054,7361.944411,8163.304852,11896.0957,6272.473918,8747.532924,6284.740104,7060.689213,5663.857962,8220.331427,3337.827868,8966.347106,9599.475324,7123.434688,6303.684403,7767.040451,6365.192805,5696.017086,7273.742739,8279.569865,8721.444127,6337.901946,3254.261399,9823.674593,9143.777173,4388.985536,7340.361871,6404.837833,7875.871366,7241.12741,7236.686678,5196.866881,5368.980928,2461.499752,6436.275769,8447.352476,12392.8449,8771.73187,8375.475559,12214.41016,11412.74666,6431.569995,6686.527295,10675.91223,8493.383896,9521.947664,9799.623241,12849.84446,5556.834169,9839.44284,5510.044973,7751.848694,5701.06941,5885.993145,5895.837114,6070.742916,5903.040481,5183.097929,5016.931916,4686.444304,4161.529155,6306.207982,5360.309435,5063.333615,5179.925858,5252.35006
8,5506.676776,4965.827668,4157.901763,3154.460768,4296.005313,3595.748787,7211.170562,6422.621703,7875.640646,6601.682955,7959.643949,6198.891285,10718.52553,8445.996951,10193.69869,9106.160011,6293.152745,2895.759204,7224.097806,6497.93978,5696.00663,3790.808165,8151.624361,2413.91255,4844.330084,6225.503872,3756.30635,3207.362965,4460.339717,5052.412067,4152.35893,6870.241127,4473.624411,4053.139778,3343.384448,704.7988367,4141.660448,3765.909382,1582.208188,4223.799224,3535.186931,5985.095378,5850.8563,2871.654878,3807.505181,2956.020462,1328.427068,5824.895091,4679.377308,5401.023976,4831.948498,4005.664292,5097.310329,4669.803429,4657.448064,3667.585802,4769.990433,4183.062763,5720.813362,4190.352377,10829.16382,2171.334313,5763.668701,3444.219432,5454.502162,6022.857739,7087.661154,7472.393306,8185.096421,4470.461764,4884.532505,4488.16034,4899.23301,4805.317554,5205.484954,5485.259836,5452.924458,5974.638171,6171.107359
9,5526.430823,6191.972524,5008.859183,6601.443006,5570.020361,5950.861311,6103.829144,4806.51509,7075.640035,7469.427802,6927.938572,6304.61637,3785.961548,5883.854358,6113.399704,6538.051354,5094.273001,6221.668728,5524.508401,6001.384867,5663.587773,5526.218374,6035.310219,6407.133367,6535.07109,5622.910961,6246.722529,5232.788418,5625.979971,5491.451069,7091.74362,6034.213905,5931.763159,6651.449751,6189.240349,6288.491189,5651.036025,6288.825813,6240.865771,6712.388486,6866.486391,7153.059806,7175.635765,7060.179523,6623.057707,6615.554172,8339.803134,6094.547759,5468.217251,6227.989053,5927.593392,6069.407691,5920.888073,5827.47522,6298.988562,6224.199485,5829.434301,6685.384143,6538.216515,6335.456466,6077.436932,5552.688344,5474.484203,6557.647499,6366.954986,5936.215863,5614.050213,4888.205028,5402.008761,6777.925783,6154.057985,6137.846305,6309.044317,5922.036694,6200.4691,5625.957388,6229.39599,5856.648706,6005.267454
