,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3
,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS
1,-0.186398622,0.250418783,0.185020013,0.409235009,-0.116869378,0.206925554,0.232022355,0.659693176,0.083844098,-0.796761951,-0.167867163,0.114070088,-0.024059354,-0.003085118,0.498686466,0.219407736
2,-0.56625977,-0.370088996,-0.155709716,-0.205738574,-0.123976696,-0.141127695,0.120621778,0.119900847,-0.130821927,-0.211293221,-0.23699635,-0.499085065,-0.046107681,-0.281407805,0.283451405,0.201525128
3,0.138226696,0.204970796,0.15078873,0.229539591,-0.003721186,-0.21085159,0.13439598,-0.374353388,0.15408627,0.211996487,-0.015688663,0.353362904,0.541559038,-0.176522109,-0.318303256,-0.205831779
4,0.371318054,-0.251438901,-0.03670727,-0.277333776,0.033467127,-0.107955254,-0.074020659,-0.890153905,0.267923124,-0.009370878,-0.167167632,-0.316644617,-0.033008759,-0.061843576,-0.408204339,-0.224446739
5,-0.129349906,-0.267855503,-0.055553467,0.06924908,-0.187358514,0.034872315,0.010057493,0.164454423,-0.414425032,-0.359341769,-0.223483514,-0.135977961,-0.031062344,-0.17570894,-0.031277836,0.068252332
6,-0.245972831,0.440673299,-0.14643119,0.40761879,0.187800655,0.279594324,0.224703695,0.383149491,-0.095739729,0.005445172,-0.040452937,0.152897744,0.232366696,0.427962841,0.310540938,0.116170582
7,0.628612503,-0.127105557,0.265608512,-0.124798813,0.012660411,-0.247618118,0.192212521,-0.871974024,0.294780562,0.37534233,0.02310679,-0.121245033,0.125239561,-0.109779802,-0.24093291,0.047761719
8,0.271369116,-0.499400816,0.408361546,0.303167478,0.172371622,-0.231958193,0.528309067,-0.680122573,0.011551326,0.260637136,-0.241037169,-0.397915962,-0.070453405,0.05331311,-0.141499858,0.358490695
9,-0.348459507,0.048175233,-0.187605755,-0.023342199,-0.138278059,-0.186991766,-0.012158636,0.106451552,0.145676867,-0.152578567,0.056148306,-0.295235285,-0.151496011,-0.199512929,0.307861285,-0.012519055
10,-0.141575187,0.641789884,0.003038898,0.581646878,-0.366444757,0.323082501,0.05245787,0.140181642,0.398534019,0.021805217,0.44731596,-0.104131318,0.574598712,0.041205393,0.092051714,-0.23269437
13,0.696041549,-0.300713309,0.16573133,0.158108762,0.042248918,-0.011710327,0.049511805,-0.792692749,0.413026433,0.848078559,0.410703583,-0.107009335,0.034108237,0.033500552,-0.220351446,-0.063816872
14,0.569255748,-0.257206078,0.272368583,-0.083020647,0.094198309,-0.268162772,0.148596705,-1.071862755,0.197633563,0.309929822,-0.004211795,-0.24977241,0.008094578,-0.038164342,-0.373864309,-0.21978634
15,0.561796214,-0.146725591,0.361374637,0.072056473,0.119225458,-0.286285042,0.235765763,-0.725783073,0.194302995,0.502206507,0.109998474,-0.210424722,0.242206517,-0.101732481,-0.398386932,-0.136816295
16,-0.551190589,-0.141025328,0.008737192,-0.219261497,-0.257141261,0.161378734,0.096908284,0.247543932,-0.338437585,-0.641020457,-0.662743805,-0.133897287,-0.07899032,-0.339824893,0.293373839,-0.038286836
17,-0.496918143,-0.213396892,-0.143927346,-0.159159698,-0.219000239,-0.131687263,-0.091885794,0.116832983,-0.266649893,-0.237511962,-0.198067497,-0.400676444,-0.094437157,-0.353358129,0.200631761,-0.011558854
18,0.078465363,-0.187462565,0.020582885,-0.249743238,0.079028451,-0.346110735,0.228819329,-0.474447029,-0.134742837,-0.406135547,-0.231683847,0.269463708,0.115088558,-0.036239376,0.104389771,0.303477095
19,0.485925786,0.001448287,0.157741786,-0.064302276,-0.006399767,-0.196259227,0.019278356,-1.046018846,0.542778737,0.420949306,0.08635584,-0.297743139,0.245495135,0.04712475,-0.642550052,-0.155433281
20,0.150633362,0.140579256,-0.119549008,0.122577679,0.008159335,0.25659426,-0.041709297,-0.322512538,0.48421511,0.288602066,0.38816862,-0.018780825,0.185963193,0.001705807,-0.218172039,-0.335263398
21,0.17781534,0.272408647,-0.308129223,-0.134234182,-0.041728298,0.222576142,-0.285050846,-0.02405369,0.390258989,0.406937139,0.288261716,-0.108081146,0.207112413,0.163029464,-0.279203369,-0.121603735
22,0.02563412,0.160531545,0.246923261,0.311435622,-0.041504551,0.439650856,0.197582372,0.055348995,0.306558659,0.274072375,0.509281849,0.355312944,0.020969179,0.223131012,0.311264143,0.206804479
23,-0.070773404,0.16250191,0.127416785,0.137186565,-0.100288174,0.080725782,0.253397647,0.056370472,-0.167065233,0.239892165,0.134300658,-0.404752811,-0.086873147,-0.226111267,-0.247697199,-0.191587599
24,-0.305276007,0.055766712,-0.019894098,0.182864016,-0.619989546,-0.310180016,-0.312092102,-0.0755762,-0.130998049,-0.291390186,-0.2693133,-0.190073091,-0.005831474,-0.384370949,0.150323009,-0.136919301
25,0.003098647,-0.034520243,0.141715531,-0.254882573,0.150131269,0.253677026,-0.200736647,0.054016747,-0.025633972,0.408994211,0.486726877,0.249035074,-0.051700468,-0.33058867,-0.032699025,-0.304839823
26,0.011146425,0.458335021,0.251016409,0.15570227,0.293522675,0.347064257,0.250936084,0.311334844,0.076904892,0.204886469,0.199017632,0.465239125,0.166148149,0.25999734,0.061550896,0.243462037
27,-0.210596762,0.267053453,-0.023593031,0.372252387,0.057481814,0.165123693,0.291757799,0.291087642,-0.085388231,-0.17614198,-0.255715448,0.011470767,0.257314392,0.248429117,0.426230829,0.091412149
28,0.288720867,-0.374919518,0.185671562,-0.279208634,0.130114219,-0.025604929,0.31595652,-0.536076265,-0.141507838,-0.29592615,-0.117108989,0.051083026,-0.170888831,0.134985986,0.151520529,0.286517701
29,0.830824052,0.253463347,0.513492994,0.755768793,-0.0591803,0.288855769,-0.009988762,-0.105404036,0.403780874,-0.085589322,-0.02155112,0.453182528,0.367394806,-0.17622527,-0.158094607,-0.065005449
30,-0.18801714,-0.381274145,-0.368154532,0.293541775,-0.392471049,-0.440768251,-0.052656756,-0.37003814,-0.303588781,-0.412810817,-0.420624078,-0.2348263,0.215217077,-0.500748028,0.129676917,0.030091454
31,-0.411798803,0.065806383,0.491008294,0.183131814,0.492663849,0.250527368,0.702047374,0.445171686,0.185115662,0.006597838,0.123340895,0.314939276,0.515450862,0.44360427,-0.274318358,0.006260787
32,0.511638918,-0.323973684,0.347901466,0.057469594,0.229979824,-0.189096397,0.253829158,-0.890235066,0.317087601,0.515840737,0.034803719,-0.143362117,0.08246052,0.091187245,-0.436007733,-0.008079174
33,0.121191414,-0.148916371,0.305079292,0.359104721,0.121963971,0.041223258,0.404888061,0.085658874,-0.030094052,0.100506011,0.023228296,0.109128601,0.099198923,0.065274685,0.085112691,0.351032572
