,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7
,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS
1,-0.6879328,0.494106426,-0.014501217,-0.016811116,0.315003593,0.160144924,0.551589521,-0.352758467,-0.704114737,-0.716656234,0.349504036,-0.026962245,0.267106017,0.222840455,0.095591145,0.195596784
2,-0.76078021,0.328729787,-0.14907007,0.091603977,0.054179326,-0.262517071,0.376716407,0.34977026,-0.210138784,-0.227884271,0.154529406,-0.067913831,-0.086493494,0.160616537,0.059307375,0.018240637
3,0.072737445,0.083288069,0.500669545,0.200602203,0.109233805,-0.051489619,-0.018724184,-0.082979639,0.267531199,0.340854038,-0.094760573,0.39918717,-0.104091612,-0.328837748,-0.003167861,0.308292248
4,0.065710936,0.759654925,0.182432492,0.305371729,0.16903105,0.16174644,-0.180402223,0.36660169,0.561901629,0.334236164,0.033761374,0.414596381,0.672533443,0.092914252,0.737481634,0.186953671
5,-0.095675594,0.054500717,0.027965063,0.144016453,0.394250748,0.075604088,0.451218936,0.398789839,-0.497699847,-0.112013009,0.096787948,0.126051831,-0.201772011,0.614313387,0.183375863,0.086720823
6,-0.50317099,-0.766967294,-0.072606031,-0.007584824,-0.182388084,-0.210121409,0.101130468,-0.316402501,-0.372439598,-0.451780778,-0.180684811,-0.173279525,-0.300012342,-0.183696745,-0.081670629,-0.047825152
7,0.224378799,0.676915296,0.268870362,0.214289147,0.659791228,0.579636256,-0.097530658,-0.051628366,0.500832883,0.230795417,0.365767702,0.39970742,0.719672637,-0.27014271,0.404495482,-0.280126745
8,-0.022849576,0.119567864,0.009010113,-0.177214716,0.062098297,-0.024883279,-0.027514001,-0.264771994,-0.003804861,-0.134184429,0.176686792,-0.132455509,0.810342346,-0.78528669,0.184097647,-0.327167543
9,-0.207924667,0.050189625,-0.047887616,-0.000981499,-0.050133145,-0.081683216,0.072678909,0.048982073,-0.081016362,0.190792902,0.146631544,0.084131869,0.001641348,-0.177511527,-0.20565222,0.152518935
10,0.149794544,-0.401534335,0.014945562,0.119808225,-0.1170799,-0.063504152,-0.196953221,-0.323483622,0.342861333,0.538180113,0.011967992,0.087545824,-0.081175581,-0.468110354,-0.002317233,-0.143942741
13,0.882442258,-0.062537268,0.433799371,0.22840539,-0.220918264,-0.021927723,-0.431651248,-0.265797164,0.752810569,0.662978041,0.180025398,0.057865996,0.360813032,-0.60066134,0.092633009,-0.375392906
14,0.197688185,0.48737563,0.288231777,0.166342213,0.315475122,0.262406619,-0.148673023,-0.179345239,0.5002136,0.262048021,0.230519447,0.164100438,0.581369007,-0.400330908,0.285838715,-0.174980722
15,0.491001517,0.313173828,0.337342185,0.118705819,0.096743256,0.178769516,-0.096438046,-0.179117819,0.434735956,0.370370631,0.013236716,0.296380907,0.405044554,-0.518862584,0.205494455,-0.216537052
16,-0.880482123,0.676894806,-0.035930541,0.361323196,0.799871781,0.619068985,0.68947309,0.362067684,-0.583096288,-0.55014014,0.419835115,0.376153617,0.077166451,0.920785888,0.513581536,0.72146622
17,-0.60311738,0.418924364,0.006557655,0.13761415,0.206018422,0.072098682,0.397850506,0.249924253,-0.290314785,-0.020751047,0.389637477,0.150154212,-0.131126046,0.294369921,0.054816424,0.27187292
18,-0.575908753,0.805412179,-0.332200392,0.076934186,0.9673566,0.737681196,0.391399363,0.293215839,-0.171135261,-0.288353727,0.496004902,0.362631465,0.884977938,0.386423377,0.595493733,0.305313013
19,0.173925611,0.522006132,0.22218233,0.211528241,0.044141855,-0.055393415,-0.205768262,-0.011142861,0.757988156,0.425742926,0.083570175,0.166000095,0.642703027,-0.320263176,0.499482281,0.034501228
20,0.165637717,0.021467671,0.288205175,0.416857767,-0.031202553,0.027792713,-0.034790749,0.046308549,0.503071408,0.534903053,0.026512892,0.348861179,0.049595834,-0.057305168,0.218242746,0.004771365
21,0.381564669,0.332032872,0.247743372,0.214367452,-0.26347357,-0.053707743,-0.363077496,0.090337431,0.624393162,0.367977631,-0.063815331,0.296971993,-0.014036687,-0.048154076,0.196645287,0.052536413
22,0.152660888,-0.527548048,0.020726559,0.028062741,-0.225848697,-0.176790703,-0.343701904,-0.271525831,0.12883392,0.394734988,0.039051209,-0.19320653,-0.046600038,-0.460165182,-0.076778484,0.025508823
23,0.066596703,-0.369136655,0.064929965,0.271887161,0.145850841,0.230740094,0.0542618,0.326311171,-0.152427157,-0.064666132,0.177069497,0.154007495,-0.220110682,0.15409071,0.198744349,-0.204178041
24,0.133729097,-0.242159986,0.037197726,0.087967875,0.396202999,0.433801243,0.296311738,0.06291777,-0.139114002,0.036499292,0.553861903,0.055278503,0.410120814,0.108750703,0.417609961,0.161373274
25,0.397689825,0.210073742,0.114181188,0.002553088,0.023681483,0.006440128,-0.105128574,0.217179205,0.150317908,0.337968329,0.120154185,0.097571817,-0.409977979,0.282806992,-0.238046809,0.125343662
26,-0.178879377,-0.839733246,-0.025499517,-0.140579473,-0.281243194,-0.21935016,-0.045922398,-0.265432171,-0.435144849,-0.30827596,-0.389060496,-0.249322388,-0.253604376,-0.377091388,-0.320093956,0.007105426
27,-0.543362335,-0.989231484,-0.294268843,-0.161012574,-0.166440346,-0.209386578,0.117656679,-0.138803913,-0.554730406,-0.422959963,-0.369414012,-0.165043949,-0.285727112,-0.062339631,-0.168836355,-0.098109348
28,-0.328772562,0.762156025,-0.078055041,0.128019753,0.742233263,0.669457073,0.072643772,0.260965533,0.092939677,0.02281632,0.456892259,0.393053393,0.795980276,0.094525359,0.527899242,0.001250806
29,0.274759184,0.138067903,-0.139457482,-0.3362962,0.106268633,-0.056934303,-0.395192269,-0.383169385,0.213470849,0.031560518,-0.009054289,-0.563069266,-0.528855129,-0.688150554,-0.288072298,-0.575312136
30,-0.080833763,0.073756694,0.052157258,-0.008012348,0.312209378,0.139880797,0.196588027,0.381541177,0.060848788,0.090691771,0.280679187,0.105270109,0.485080365,0.183568911,0.295944069,0.03525846
31,0.046044583,-0.391899546,0.144080016,0.21089397,-0.838697461,-0.675050775,-0.299172363,-0.258033517,-0.093204605,0.305672815,-0.477687287,-0.2372138,-0.590065013,-0.731252401,-0.664177518,-0.448039237
32,0.28315568,0.343212577,0.241052089,0.100451655,0.238871747,0.183705528,-0.103230199,-0.2846202,0.388958734,0.205019708,0.109588593,0.022555382,0.344159507,-0.608527672,0.192436219,-0.231550028
33,0.272623484,-0.530972212,-0.044528973,-0.395485939,-0.127348593,-0.074725816,-0.119359421,-0.27766792,-0.064082017,-0.024705767,-0.016318957,-0.170198763,0.334115763,-0.60095854,-0.070359255,-0.25252066
34,0.110474735,-0.530438515,0.138176479,0.206825717,-0.848913494,-0.683458794,-0.301805577,-0.20341799,-0.041076634,0.262369214,-0.59111658,-0.344476618,-0.634156734,-0.665282702,-0.597652717,-0.317707838
35,0.250328967,-0.059817567,0.561810101,0.336179586,-0.135223481,-0.11885293,-0.1753726,0.324686556,0.339744793,0.537725416,-0.202142032,0.118551322,-0.102582921,0.164911539,-0.258572121,0.352281214
36,0.097043044,-0.414733164,0.108303757,-0.10856773,-0.171964042,-0.262286799,-0.055722879,0.036663801,-0.021035728,0.122352027,-0.121377955,-0.214523932,-0.315661861,-0.192684487,0.042460958,0.146978689
37,0.007626927,0.035332263,0.140346391,-0.007521216,-0.043490184,-0.033946734,-0.085798909,-0.234767475,0.166746924,-0.054185281,-0.091508011,-0.011928762,0.468391387,-0.652692047,0.321212225,-0.194706735
38,-0.146988302,0.939610808,0.07262736,0.226572667,0.28497994,0.158361056,0.327951524,0.151799022,0.221325668,0.147201866,0.401192369,0.152793349,0.436483718,0.065310461,0.353908431,0.336796492
39,0.470562764,0.459142829,0.441713681,0.530466585,1.33096688,0.828739927,0.422230559,0.555204246,0.3277348,0.27976115,0.68057596,0.361788975,0.4131894,0.614469463,0.93429508,0.299870239
40,0.221510365,-0.475366252,-0.357393828,-0.043137853,0.160849002,-0.111671953,-0.208971105,-0.482415964,0.291641662,-0.063492869,-0.250957001,-0.074561528,-0.333547064,-0.686291305,-0.042618751,-0.518476126
41,0.133791914,-0.842236122,0.114540407,0.070024387,-0.222059887,3.65E-05,-0.536747848,-0.392133003,0.130925751,-0.10796095,-0.691883772,-0.063688628,-0.580453415,-0.636018833,0.114907649,-0.34020534
42,0.51272221,0.198316795,0.245041543,0.125260551,-0.130895911,-0.016512518,-0.281019857,-0.266673554,0.585568765,0.375358622,-0.053857281,0.010156295,0.421992606,-0.568681318,0.29873187,-0.376364716
43,0.324382225,-0.702128045,0.120546256,-0.100351594,-0.388367963,-0.310205633,-0.335214653,-0.238643037,0.032312662,-0.03714742,-0.555017673,-0.216484195,-0.370617528,-0.639959362,-0.046291349,-0.280956107
44,0.373010595,0.646032737,0.508681827,0.28326741,0.126540522,0.760890386,0.468036017,0.574809165,0.427169076,0.365954133,0.62476749,0.284106207,0.540382761,0.717072528,0.128727656,0.56791647
45,0.137897617,-0.533161732,0.191550546,0.091590834,0.05553459,0.062534559,-0.20245845,-0.282307188,0.197306596,0.269315368,0.344500328,-0.090908842,0.414022177,-0.180394371,0.169599463,0.014498334
46,0.483696332,-0.753153519,0.30272681,0.156670434,-0.248375343,-0.168057322,-0.301060988,-0.286787004,0.195233477,0.166725652,-0.455751071,-0.040303212,-0.383853096,-0.609339196,0.098987486,-0.239015487
47,-0.329718238,-0.733680919,-0.266240945,0.071073526,-0.341051315,-0.222266129,-0.222916202,-0.383458692,-0.255440853,-0.230495178,-0.276646031,-0.337844893,-0.14423686,-0.633079459,-0.057941718,-0.146162329
48,-0.370108904,0.73098917,0.004738482,0.067374877,0.342135918,0.021330982,0.313948481,0.411844653,0.014195921,-0.112869646,0.300212308,0.20600997,0.459407714,0.335652771,0.479005376,0.329748854
50,-0.202643958,-0.031534407,-0.130469369,0.254994136,0.088699428,0.230046396,0.0644755,-0.062838331,0.108526508,0.147357565,0.061574592,0.273541725,0.340636264,-0.352468139,0.18841456,-0.146687718
51,-0.240144676,-0.202418163,0.106497528,0.458078949,-0.012422002,0.152814809,-0.066365715,0.268108489,-0.160539133,-0.236868647,-0.187743769,0.059754936,-0.167855333,0.169131614,0.065432648,0.096359124
54,0.44944563,0.146755129,0.437446682,-0.046959862,0.133473734,-0.046165976,-0.322746273,0.105839922,0.22844563,0.258849808,-0.073234325,0.230520857,-0.446649217,0.341640676,-0.105442933,0.000206879
55,0.22479394,-0.645772972,-0.081040001,-0.320370611,-0.138293785,0.001668865,-0.191451035,-0.53643923,-0.097626313,-0.099575093,-0.131020138,-0.387734552,0.089023337,-0.88420304,-0.294617953,-0.217376191
56,-0.226758121,-0.592739195,-0.176622012,-0.146523893,-0.048938453,-0.058591736,0.196813184,-0.383037207,-0.390290241,-0.241641646,-0.120209908,-0.233389761,-0.151223583,-0.786358122,-0.208964991,0.088358308
57,0.138593493,-0.762047907,0.191179668,-0.099453564,-0.409794717,-0.32620459,-0.382844962,-0.306590573,0.154650264,-0.001364416,-0.542200401,-0.132320945,-0.037341212,-0.555882613,0.022190035,-0.237806259
58,0.088913528,0.209046655,-0.089570627,0.122792083,0.120352425,0.089841233,0.090503149,0.019199952,0.228055649,0.250391477,0.127356152,0.141934888,0.197785261,-0.262143911,0.066546806,0.57389018
59,-0.063017355,0.969171449,0.142160336,0.184490875,0.705934806,0.659837733,0.082480412,-0.016300051,0.227560177,0.200066792,0.689844807,0.363181085,0.776411216,-0.009590113,0.225484641,-0.091058394
60,0.20186477,-0.968570578,-0.16574229,-0.242402288,-0.287248167,-0.01560945,-0.173215232,-0.274728846,-0.178757789,0.063289572,-0.150883613,-0.200778376,0.040606833,-0.820345736,-0.31331602,-0.416642219
61,-0.207912682,-0.775438896,-0.30975684,-0.261267193,-0.499539686,-0.473311797,-0.340686723,-0.080547898,-0.498513705,-0.458780243,-0.148033126,-0.162120389,0.087150467,-0.841359024,-0.014853368,-0.496097583
62,0.323253991,-0.06208949,0.044190755,0.093514776,0.194591156,0.123371056,0.067726825,-0.056841594,0.197340149,0.121858956,-0.071601117,0.017812256,0.341624903,0.121414461,-0.020205516,0.75419432
63,-1.019924167,0.616177476,-0.282030282,-0.029717933,0.475177186,0.190692228,0.635571842,0.204470501,-0.979619559,-1.005415858,0.055328201,-0.019516181,-0.231837362,1.082344427,0.181405466,0.613459601
64,0.23604278,-0.501491225,0.02300796,-0.319506652,-0.133238117,0.12498121,-0.122267442,-0.497118553,-0.18446707,0.011290634,0.049370495,-0.312774195,0.353511792,-0.849945893,-0.328267942,-0.414529891
65,0.311525964,-0.622237134,0.268973839,0.175493599,-0.077696175,-0.153082622,-0.057441102,-0.246208124,0.400284891,0.5422748,0.103051108,0.110856019,0.313598856,-0.495591055,-0.117460812,-0.108671935
66,0.354828406,-0.013427634,0.103477908,0.064117368,-0.302779997,-0.311434573,-0.179731615,0.092709077,0.37789648,0.217802552,0.133940946,0.173864724,-0.189871109,0.015077053,0.154524947,0.153119561
67,0.11658932,-0.897271201,0.078243496,-0.173553385,-0.255290722,0.031721636,-0.198125057,-0.522842014,-0.187424248,-0.144219406,-0.433127555,-0.17588494,-0.182084617,-0.702452312,-0.260099911,-0.031238331
68,-0.157628784,-0.007633245,-0.005791974,0.187252723,0.395194777,0.245203737,0.346785774,0.207449438,-0.068144938,0.053050321,0.348466665,0.141116081,0.489008386,0.047591146,0.232806446,0.353589382
