Metabolite,FC,log2FC,pvalue,neglogp,p.ajusted,#NAME?
PS(22:6/22:4),0.29998,-1.737,0.064957,1.187374041,0.25983,0.58531
DG(16:0/20:3),0.58342,-0.77739,0.16053,0.794443794,0.38748,0.41175
PE-NMe2(20:4/24:0),0.78314,-0.35266,0.50536,0.296399136,0.72194,0.1415
PE(18:0/20:1),0.92087,-0.11892,0.19487,0.710255015,0.41972,0.37704
(3'-sulfo)Galbeta-Cer(d18:1/16:0(2OH)),0.65904,-0.60156,0.87848,0.056268121,0.95339,0.020731
PC(18:0/24:4),0.7833,-0.35237,0.79845,0.097752275,0.93935,0.027173
HexCer(d18:1/26:1),1.0143,0.020534,0.79845,0.097752275,0.93935,0.027173
PS(22:2/24:0),0.202,-2.3076,0.0010878,2.963450946,0.030458,1.5163
LysoPE(20:4),0.17813,-2.489,0.1049,0.979224512,0.31245,0.50521
DG(18:0/20:2),0.83996,-0.25161,0.87848,0.056268121,0.95339,0.020731
HexCer(d18:1/18:1),2.0142,1.0102,0.13038,0.884789023,0.3444,0.46293
9-octadecenolide,0.50064,-0.99817,0.7209,0.142124974,0.90924,0.041319
HexCer(d16:1/24:0),0.71942,-0.4751,0.4418,0.354774288,0.68725,0.16289
PI(20:4/18:0),2.0664,1.0472,0.79845,0.097752275,0.93935,0.027173
PE(P-18:0/20:4),0.41345,-1.2742,0.16053,0.794443794,0.38748,0.41175
HexCer(d18:0/24:0),0.6259,-0.676,0.95913,0.018122525,0.98013,0.0087152
DG(18:1/20:1),0.61585,-0.69935,0.87848,0.056268121,0.95339,0.020731
DG(18:0/20:3),3.6276,1.859,0.028127,1.550876587,0.17121,0.76647
PE(18:0/20:3),3.5963,1.8465,0.020668,1.684701547,0.16075,0.79384
DG(18:0/22:5),1.4225,0.50838,0.32821,0.483848191,0.56727,0.24621
PE(P-18:1/22:6),1.3637,0.44755,0.64538,0.190184497,0.85238,0.069364
DG(22:4/22:6),0.037942,-4.72,0.16053,0.794443794,0.38748,0.41175
PE(18:0/22:6),9.8686,3.3028,0.037918,1.421154578,0.20417,0.69
PC(16:1/22:6),0.86175,-0.21467,0.32821,0.483848191,0.56727,0.24621
PC(18:0/22:4),0.37324,-1.4218,0.13038,0.884789023,0.3444,0.46293
HexCer(d18:1/22:0),2.0575,1.0409,0.27863,0.554972125,0.52011,0.2839
Cer(d18:1/24:1),0.7962,-0.3288,0.64538,0.190184497,0.85238,0.069364
PE(22:4/22:6),0.093033,-3.4261,0.037918,1.421154578,0.20417,0.69
Cer(d18:1/24:0(3OH)),0.61099,-0.71077,0.38228,0.417618423,0.63714,0.19576
PC(18:1/22:0),0.50979,-0.97202,0.2345,0.629857153,0.48279,0.31624
PE(22:6/22:6),0.24945,-2.0032,0.014763,1.83082538,0.13779,0.86079
HexCer(d18:1/24:1),0.6802,-0.55597,0.50536,0.296399136,0.72194,0.1415
PE(18:1/16:0),994.18,9.9574,0.0001554,3.808548986,0.010878,1.9635
DG(22:6/18:1),1.5845,0.66406,0.19487,0.710255015,0.41972,0.37704
PC(18:1/22:1),0.38163,-1.3898,0.082984,1.081005635,0.29044,0.53694
LysoPE(18:1),0.20578,-2.2809,0.38228,0.417618423,0.63714,0.19576
7-alpha-hydroxy-4-cholesten-3-one-d7,0.74167,-0.43115,0.95913,0.018122525,0.98013,0.24621
Cer(d18:1/20:0(3OH)),2.5812,1.368,0.32821,0.483848191,0.56727,0.66107
LysoPC(16:0),0.7063,-0.50164,0.049883,1.302047436,0.21824,0.027173
DG(O-16:0/18:1),0.77335,-0.37081,0.79845,0.097752275,0.93935,0.0087152
LysoPC(22:6),0.29921,-1.7408,0.95913,0.018122525,0.98013,0.69
PG(18:4/14:1),1.3822,0.46702,0.50536,0.296399136,0.72194,0.069364
DG(20:5/22:3),0.26758,-1.9019,0.037918,1.421154578,0.20417,0.91553
LysoPC(20:4),0.26249,-1.9297,0.64538,0.190184497,0.85238,0.66107
PC(P-18:0/18:3),0.55604,-0.84675,0.010412,1.982465841,0.12147,0.2839
PE(P-16:0/20:2),1.6555,0.72729,0.049883,1.302047436,0.21824,0.46293
LysoPE(22:4),908.08,9.8267,0.27863,0.554972125,0.52011,0.91553
"5-alpha-Cholesta-7,24-dien-3-beta-ol",0.40472,-1.305,0.13038,0.884789023,0.3444,0.66107
PE(22:6/16:0),0.31327,-1.6745,0.010412,1.982465841,0.12147,0.66107
PE(22:6/18:2),1.0003,0.00043039,0.049883,1.302047436,0.21824,0.027173
