Metabolite,FC,log2FC,pvalue,neglogp,p.ajusted,#NAME?
PS(22:6/22:4),2.1212,1.0849,0.2345,0.629857153,1,0
DG(16:0/20:3),0.4962,-1.011,0.87848,0.056268121,1,0
PE-NMe2(20:4/24:0),0.68036,-0.55564,0.7209,0.142124974,1,0
PE(18:0/20:1),1.5101,0.59467,1,0,1,0
(3'-sulfo)Galbeta-Cer(d18:1/16:0(2OH)),4.0676,2.0242,0.19487,0.710255015,1,0
PC(18:0/24:4),1.5445,0.62714,0.57374,0.241284871,1,0
HexCer(d18:1/26:1),1.2688,0.3435,0.50536,0.296399136,1,0
PS(22:2/24:0),2.461,1.2992,0.57374,0.241284871,1,0
LysoPE(20:4),0.30374,-1.7191,0.7209,0.142124974,1,0
DG(18:0/20:2),1.1058,0.14508,0.95913,0.018122525,1,0
HexCer(d18:1/18:1),0.63911,-0.64585,0.87848,0.056268121,1,0
9-octadecenolide,2.1025,1.0721,1,0,1,0
HexCer(d16:1/24:0),1.2874,0.36448,0.95913,0.018122525,1,0
PI(20:4/18:0),1.7528,0.80967,0.32821,0.483848191,1,0
PE(P-18:0/20:4),0.58293,-0.77862,0.7209,0.142124974,1,0
HexCer(d18:0/24:0),0.51359,-0.96132,0.32821,0.483848191,1,0
DG(18:1/20:1),0.4949,-1.0148,0.57374,0.241284871,1,0
DG(18:0/20:3),0.50317,-0.99088,0.57374,0.241284871,1,0
PE(18:0/20:3),0.46232,-1.113,0.27863,0.554972125,1,0
DG(18:0/22:5),0.65106,-0.61914,0.2345,0.629857153,1,0
PE(P-18:1/22:6),2.1837,1.1268,0.049883,1.302047436,1,0
DG(22:4/22:6),1.5861,0.66544,0.87848,0.056268121,1,0
PE(18:0/22:6),0.52645,-0.92564,0.95913,0.018122525,1,0
PC(16:1/22:6),1.2396,0.30987,0.32821,0.483848191,1,0
PC(18:0/22:4),1.396,0.4813,0.38228,0.417618423,1,0
HexCer(d18:1/22:0),1.4747,0.56044,0.95913,0.018122525,1,0
Cer(d18:1/24:1),2.1579,1.1097,0.19487,0.710255015,1,0
PE(22:4/22:6),0.78315,-0.35264,0.95913,0.018122525,1,0
Cer(d18:1/24:0(3OH)),1.6488,0.72141,0.38228,0.417618423,1,0
PC(18:1/22:0),1.3451,0.42773,1,0,1,0
PE(22:6/22:6),1.7266,0.78792,0.27863,0.554972125,1,0
HexCer(d18:1/24:1),1.7324,0.79281,0.32821,0.483848191,1,0
PE(18:1/16:0),0.92005,-0.12021,0.87848,0.056268121,1,0
DG(22:6/18:1),0.52015,-0.94301,0.95913,0.018122525,1,0
PC(18:1/22:1),1.5081,0.59271,0.50536,0.296399136,1,0
LysoPE(18:1),3.2967,1.721,0.64538,0.190184497,1,0
7-alpha-hydroxy-4-cholesten-3-one-d7,1.8986,0.92492,0.79845,0.097752275,1,0
Cer(d18:1/20:0(3OH)),1.6064,0.68382,0.27863,0.554972125,1,0
LysoPC(16:0),0.9772,-0.033278,0.32821,0.483848191,1,0
DG(O-16:0/18:1),2.5805,1.3676,1,0,1,0
LysoPC(22:6),0.0034762,-8.1683,0.1049,0.979224512,1,0
PG(18:4/14:1),0.47502,-1.0739,0.38228,0.417618423,1,0
DG(20:5/22:3),1.996,0.99711,0.1049,0.979224512,1,0
