Metabolite,FC,log2FC,pvalue,neglogp,p.ajusted,#NAME?
PS(22:6/22:4),1.3451,0.42773,0.64538,0.190184497,1,0
DG(16:0/20:3),3.0579,1.6126,0.64538,0.190184497,1,0
PE-NMe2(20:4/24:0),0.73452,-0.44512,0.95913,0.018122525,1,0
PE(18:0/20:1),0.6626,-0.5938,0.32821,0.483848191,1,0
(3'-sulfo)Galbeta-Cer(d18:1/16:0(2OH)),1.3965,0.48183,0.50536,0.296399136,1,0
PC(18:0/24:4),693.55,9.4379,1,0,1,0
HexCer(d18:1/26:1),1.001,0.0014355,1,0,1,0
PS(22:2/24:0),0.16288,-2.6181,0.95913,0.018122525,1,0
LysoPE(20:4),0.29863,-1.7436,0.38228,0.417618423,1,0
DG(18:0/20:2),0.29026,-1.7846,0.50536,0.296399136,1,0
HexCer(d18:1/18:1),0.73309,-0.44794,0.7209,0.142124974,1,0
9-octadecenolide,0.84854,-0.23694,1,0,1,0
HexCer(d16:1/24:0),0.89015,-0.16788,0.95913,0.018122525,1,0
PI(20:4/18:0),1.1584,0.2121,0.95913,0.018122525,1,0
PE(P-18:0/20:4),1.2826,0.3591,0.64538,0.190184497,1,0
HexCer(d18:0/24:0),1.0796,0.11045,0.95913,0.018122525,1,0
DG(18:1/20:1),0.44975,-1.1528,0.38228,0.417618423,1,0
DG(18:0/20:3),0.57314,-0.80303,0.50536,0.296399136,1,0
PE(18:0/20:3),0.8229,-0.28121,0.7209,0.142124974,1,0
DG(18:0/22:5),0.34264,-1.5452,0.27863,0.554972125,1,0
PE(P-18:1/22:6),1.6968,0.76283,0.4418,0.354774288,1,0
DG(22:4/22:6),0.83059,-0.26779,0.79845,0.097752275,1,0
PE(18:0/22:6),0.87221,-0.19725,0.95913,0.018122525,1,0
PC(16:1/22:6),0.020185,-5.6306,0.19487,0.710255015,1,0
PC(18:0/22:4),806.74,9.656,0.95913,0.018122525,1,0
HexCer(d18:1/22:0),1.1049,0.14388,0.95913,0.018122525,1,0
Cer(d18:1/24:1),2.1179,1.0826,0.2345,0.629857153,1,0
PE(22:4/22:6),0.75206,-0.41108,0.57374,0.241284871,1,0
Cer(d18:1/24:0(3OH)),1.3117,0.39141,0.64538,0.190184497,1,0
PC(18:1/22:0),1.1012,0.13901,0.87848,0.056268121,1,0
PE(22:6/22:6),0.81603,-0.29331,0.4418,0.354774288,1,0
HexCer(d18:1/24:1),1.7355,0.79537,0.64538,0.190184497,1,0
PE(18:1/16:0),0.97344,-0.038834,1,0,1,0
DG(22:6/18:1),0.77626,-0.36539,0.79845,0.097752275,1,0
PC(18:1/22:1),0.19175,-2.3827,1,0,1,0
LysoPE(18:1),1.0222,0.031647,0.57374,0.241284871,1,0
7-alpha-hydroxy-4-cholesten-3-one-d7,1.2882,0.36536,0.19487,0.710255015,1,0
Cer(d18:1/20:0(3OH)),1.3109,0.39051,0.87848,0.056268121,1,0
LysoPC(16:0),1.2949,0.37282,0.7209,0.142124974,1,0
DG(O-16:0/18:1),0.63919,-0.64569,0.7209,0.142124974,1,0
LysoPC(22:6),13.719,3.7781,0.95913,0.018122525,1,0
PG(18:4/14:1),1.0233,0.033223,0.95913,0.018122525,1,0
DG(20:5/22:3),0.38258,-1.3862,0.1049,0.979224512,1,0
LysoPC(20:4),2.0458,1.0327,0.79845,0.097752275,1,0
PC(P-18:0/18:3),487.68,8.9298,0.50536,0.296399136,1,0
PE(P-16:0/20:2),0.89085,-0.16675,0.79845,0.097752275,1,0
LysoPE(22:4),0.56986,-0.81133,0.50536,0.296399136,1,0
"5-alpha-Cholesta-7,24-dien-3-beta-ol",2.5223,1.3347,0.50536,0.296399136,1,0
PE(22:6/16:0),1.2013,0.26457,0.79845,0.097752275,1,0
PE(22:6/18:2),2.5414,1.3456,0.87848,0.056268121,1,0
PC(18:2/16:1),2.2257,1.1542,0.4418,0.354774288,1,0
LysoPC(18:1),1.8643,0.89861,0.64538,0.190184497,1,0
1-Palmitoyl-2-linoleoyl PE,0.46701,-1.0985,0.13038,0.884789023,1,0
HexCer(d18:0/18:1),1.1053,0.1445,0.79845,0.097752275,1,0
LysoMG(22:6),1.9421,0.95764,0.95913,0.018122525,1,0
DG(16:0/20:4),0.0016728,-9.2235,0.64538,0.190184497,1,0
PE(16:0/18:2),0.54474,-0.87635,0.64538,0.190184497,1,0
PS(18:0/22:6),1.0981,0.13497,0.64538,0.190184497,1,0
PE(20:4/22:6),0.92724,-0.10898,0.79845,0.097752275,1,0
DG(16:0/20:4),0.5143,-0.95931,0.38228,0.417618423,1,0
DG(16:0/18:1),0.5017,-0.99511,0.082984,1.081005635,1,0
PC(14:0/20:4),1552.4,10.6,0.64538,0.190184497,1,0
PE(22:4/18:4),0.82967,-0.26939,0.64538,0.190184497,1,0
DG(20:4/18:1),0.65302,-0.61479,0.7209,0.142124974,1,0
PC(16:1/16:1),1.464,0.54992,0.64538,0.190184497,1,0
SM(d14:0/26:1),0.62028,-0.689,0.7209,0.142124974,1,0
PC(18:1/24:0),1.2178,0.28427,0.7209,0.142124974,1,0
Cer(d18:2/24:0(2OH)),0.82799,-0.27232,0.95913,0.018122525,1,0
LysoPC(18:0),0.6048,-0.72546,0.64538,0.190184497,1,0
DG(16:1/22:5),1.1979,0.2605,0.79845,0.097752275,1,0
LysoPE(22:6),1.9253,0.94508,0.95913,0.018122525,1,0
PC(22:6/22:6),1.0823,0.11409,0.87848,0.056268121,1,0
DG(22:4/22:6),2.663,1.4131,0.87848,0.056268121,1,0
PC(O-22:2/20:2),0.19993,-2.3224,0.049883,1.302047436,1,0
PE-NMe2(22:6/18:0),1.175,0.23271,0.7209,0.142124974,1,0
PE(16:0/20:4),1.257,0.33,0.64538,0.190184497,1,0
HexCer(d18:1/18:0),1.9713,0.97913,0.57374,0.241284871,1,0
LysoPC(16:0),10.834,3.4375,1,0,1,0
DG(18:1/18:0),1.5684,0.6493,0.38228,0.417618423,1,0
PC(16:0/14:0),0.81923,-0.28765,0.79845,0.097752275,1,0
DG(18:1/18:2),0.007549,-7.0495,0.87848,0.056268121,1,0
TG(16:0/22:6/18:1),1.8452,0.88377,0.2345,0.629857153,1,0
HexCer(d16:1(15Me)/24:0(2OH),0.61958,-0.69065,0.7209,0.142124974,1,0
PE(P-16:0/20:3),1.8902,0.91857,0.4418,0.354774288,1,0
Cer(t26:1/16:0(2OH)),0.78311,-0.35271,0.64538,0.190184497,1,0
LysoMG(20:4),0.256,-1.9658,0.79845,0.097752275,1,0
PE(P-16:0/22:6),0.69328,-0.52848,0.64538,0.190184497,1,0
PC(18:2/22:6),1.0332,0.047056,0.4418,0.354774288,1,0
LysoMG(16:0) ,0.5338,-0.90563,0.50536,0.296399136,1,0
PE(22:2/P-16:0),2.2542,1.1726,0.38228,0.417618423,1,0
PE(16:1/22:6),0.72266,-0.46862,0.79845,0.097752275,1,0
DG(20:0/18:0),0.38901,-1.3621,0.50536,0.296399136,1,0
Ceramide (d18:1/18:1),0.32751,-1.6104,0.32821,0.483848191,1,0
PE(22:5/18:0),1.6105,0.68754,0.27863,0.554972125,1,0
Cer(d18:2/18:0),2.2588,1.1755,0.32821,0.483848191,1,0
Cer(d18:1/22:0(3OH)),2795.2,11.449,0.32821,0.483848191,1,0
PC(8:0/6:0),0.84459,-0.24368,0.082984,1.081005635,1,0
HexCer(d18:1/22:0(2OH)),0.28726,-1.7996,0.87848,0.056268121,1,0
PE(18:1/18:1),0.51752,-0.9503,0.38228,0.417618423,1,0
SM(d16:1/26:1),0.61621,-0.69852,0.79845,0.097752275,1,0
PC(P-18:0/20:5),1.4516,0.53762,0.79845,0.097752275,1,0
Sphinganine 1-phosphate,0.65291,-0.61504,0.4418,0.354774288,1,0
PE(P-18:0/18:1),1.2989,0.37733,0.32821,0.483848191,1,0
Oreacerebroside F,1.5113,0.5958,0.64538,0.190184497,1,0
5-alpha-cholest-22E-en-3beta-ol,0.87019,-0.20059,0.38228,0.417618423,1,0
PE(P-18:0/22:6),1.6019,0.6798,0.7209,0.142124974,1,0
PE(18:1/22:6),483.47,8.9173,0.95913,0.018122525,1,0
PI(22:1/18:2),8.4381,3.0769,0.87848,0.056268121,1,0
LysoPC(16:0),0.44951,-1.1536,0.7209,0.142124974,1,0
PC(P-16:0/20:0),0.7527,-0.40986,0.4418,0.354774288,1,0
PE(P-16:0/18:1),0.7772,-0.36364,0.028127,1.550876587,1,0
DG(18:0/20:1),3.5628,1.833,0.38228,0.417618423,1,0
DG(18:0/22:6),0.77919,-0.35996,0.57374,0.241284871,1,0
TG(16:0/16:0/22:6),0.33697,-1.5693,0.38228,0.417618423,1,0
